"
2018-19 District STAAR Performance",,,,,,,,,,,,,,,,,
District Name: HOUSTON ISD (101912),,,,,,,,,,,,,,,,,
County Name: HARRIS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EL
(Current
& 
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
"
    Grade 3 Reading
     Reading Including EOC,2019,45%,45%,41%,29%,39%,69%,55%,80%,56%,70%,26%,39%,42%,36%,34%,40%
,2018,43%,44%,39%,27%,37%,67%,38%,76%,*,66%,28%,28%,40%,35%,33%,38%
     Math Including EOC,2019,49%,48%,45%,31%,44%,71%,55%,85%,78%,71%,28%,45%,47%,38%,39%,45%
,2018,47%,48%,44%,29%,43%,71%,38%,83%,*,68%,29%,43%,46%,37%,39%,45%
"
   4th Graders
     Reading and Mathematics",2019,35%,36%,31%,20%,28%,58%,8%,71%,*,61%,20%,23%,32%,26%,25%,27%
,2018,36%,37%,32%,22%,29%,64%,26%,74%,0%,57%,25%,28%,34%,27%,26%,28%
     Reading and Mathematics Including EOC,2019,35%,36%,31%,20%,28%,58%,8%,71%,*,61%,20%,23%,32%,26%,25%,27%
,2018,36%,37%,32%,22%,29%,64%,26%,74%,0%,57%,25%,28%,34%,27%,26%,28%
     Reading Including EOC,2019,44%,45%,39%,29%,35%,68%,25%,75%,*,68%,23%,28%,40%,35%,32%,34%
,2018,46%,46%,39%,30%,35%,74%,35%,77%,0%,67%,28%,34%,40%,35%,33%,33%
     Math Including EOC,2019,48%,49%,45%,29%,45%,70%,25%,84%,*,69%,27%,43%,47%,38%,40%,46%
,2018,49%,51%,48%,34%,47%,71%,52%,86%,43%,66%,27%,43%,50%,40%,43%,49%
"
   5th Graders
     Reading and Mathematics",2019,44%,44%,39%,27%,35%,71%,27%,82%,*,67%,20%,32%,41%,32%,32%,33%
