Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Alief_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Alief_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.01,0.79,0,0.79,-0.02,0.68,0.001,0.64,-0.03,0.67,-0.03,0.7,-0.02,0.67,-0.02,0.69
Alief_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Alief_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.02,0.49,0.01,0.49,-0.01,0.36,0.04,0.35,-0.03,0.31,-0.04,0.39,0.001,0.35,-0.02,0.36
Alief_ISD_Grade 3 Mathematics_At Masters Grade Level,Alief_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.02,0.25,0.01,0.25,0.001,0.16,0.03,0.16,-0.01,0.12,-0.03,0.18,0.01,0.15,-0.01,0.16
Alief_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Alief_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,-0.01,0.76,-0.01,0.76,-0.03,0.65,0.01,0.69,-0.05,0.61,-0.02,0.66,-0.03,0.63,-0.03,0.62
Alief_ISD_Grade 3 Reading_At Meets Grade Level or Above,Alief_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.02,0.45,0.02,0.46,0.01,0.32,0.03,0.35,0.001,0.27,-0.01,0.38,0.03,0.31,0.01,0.3
Alief_ISD_Grade 3 Reading_At Masters Grade Level,Alief_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.02,0.27,0.03,0.28,0.02,0.18,0.03,0.19,0.01,0.14,-0.05,0.2,0.02,0.16,0.02,0.17
Alief_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Alief_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,-0.03,0.75,-0.04,0.76,0.03,0.71,0.001,0.65,0.02,0.7,0.05,0.71,0.02,0.69,0.03,0.72
Alief_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Alief_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,-0.01,0.48,-0.02,0.49,0.04,0.43,0.07,0.41,0.05,0.41,0.04,0.44,0.04,0.41,0.03,0.43
Alief_ISD_Grade 4 Mathematics_At Masters Grade Level,Alief_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,0.01,0.28,0.01,0.3,0.06,0.25,0.06,0.21,0.05,0.22,0.1,0.28,0.05,0.23,0.04,0.25
Alief_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Alief_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.02,0.75,0.02,0.75,0.05,0.69,0.01,0.68,0.06,0.66,0.02,0.73,0.05,0.67,0.06,0.67
Alief_ISD_Grade 4 Reading_At Meets Grade Level or Above,Alief_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,-0.02,0.44,-0.01,0.45,-0.02,0.35,-0.04,0.35,0.001,0.32,0.08,0.44,-0.02,0.33,0.001,0.34
Alief_ISD_Grade 4 Reading_At Masters Grade Level,Alief_ISD,Grade 4 Reading,At Masters Grade Level,2019,-0.02,0.22,-0.02,0.23,-0.01,0.16,0.001,0.18,-0.02,0.12,0.05,0.21,-0.01,0.14,0.001,0.15
Alief_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Alief_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,-0.01,0.9,-0.01,0.89,-0.02,0.78,-0.04,0.75,-0.01,0.77,0.03,0.82,-0.02,0.77,-0.01,0.79
Alief_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Alief_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,0.001,0.58,0.01,0.59,0.001,0.42,-0.01,0.37,0.01,0.39,0.04,0.44,0.001,0.4,0.001,0.43
Alief_ISD_Grade 5 Mathematics+_At Masters Grade Level,Alief_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,0.06,0.36,0.07,0.38,0.03,0.23,0.04,0.2,0.04,0.2,0.05,0.25,0.03,0.22,0.02,0.24
Alief_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Alief_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.02,0.86,0.03,0.86,0.04,0.78,0.04,0.82,0.07,0.76,0.03,0.79,0.04,0.77,0.04,0.75
Alief_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Alief_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.001,0.54,0,0.54,0.001,0.43,0.02,0.47,0.01,0.38,-0.05,0.44,0.001,0.41,0.001,0.4
Alief_ISD_Grade 5 Reading+_At Masters Grade Level,Alief_ISD,Grade 5 Reading+,At Masters Grade Level,2019,0.03,0.29,0.03,0.3,0.04,0.21,0.05,0.22,0.05,0.18,-0.03,0.21,0.03,0.19,0.02,0.19
Alief_ISD_Grade 5 Science_At Approaches Grade Level or Above,Alief_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,-0.01,0.75,-0.01,0.75,-0.01,0.63,-0.01,0.6,0.001,0.62,0.01,0.63,-0.01,0.62,-0.02,0.63
Alief_ISD_Grade 5 Science_At Meets Grade Level or Above,Alief_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,0.08,0.49,0.08,0.5,0.06,0.34,0.06,0.29,0.09,0.32,0.001,0.39,0.07,0.33,0.06,0.34
Alief_ISD_Grade 5 Science_At Masters Grade Level,Alief_ISD,Grade 5 Science,At Masters Grade Level,2019,0.07,0.24,0.07,0.25,0.03,0.13,0.04,0.1,0.03,0.11,0.04,0.19,0.03,0.12,0.01,0.13
Alief_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above,Alief_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,0.04,0.81,0.03,0.81,0.05,0.77,0.01,0.73,0.08,0.76,0.09,0.72,0.06,0.76,0.07,0.78
Alief_ISD_Grade 6 Mathematics_At Meets Grade Level or Above,Alief_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2019,0.03,0.47,0.02,0.48,0.02,0.43,0.01,0.39,0.01,0.37,0.02,0.37,0.02,0.41,0.02,0.43
Alief_ISD_Grade 6 Mathematics_At Masters Grade Level,Alief_ISD,Grade 6 Mathematics,At Masters Grade Level,2019,0.03,0.21,0.02,0.22,0.03,0.21,-0.01,0.16,0.04,0.16,0.09,0.19,0.03,0.19,0.04,0.22
Alief_ISD_Grade 6 Reading_At Approaches Grade Level or Above,Alief_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2019,-0.01,0.68,-0.02,0.69,-0.03,0.62,-0.03,0.66,-0.01,0.58,-0.09,0.53,-0.02,0.61,-0.02,0.59
Alief_ISD_Grade 6 Reading_At Meets Grade Level or Above,Alief_ISD,Grade 6 Reading,At Meets Grade Level or Above,2019,-0.02,0.37,-0.03,0.38,-0.04,0.3,-0.05,0.33,-0.04,0.24,0.01,0.32,-0.04,0.28,-0.02,0.28
Alief_ISD_Grade 6 Reading_At Masters Grade Level,Alief_ISD,Grade 6 Reading,At Masters Grade Level,2019,-0.01,0.18,-0.01,0.19,-0.01,0.14,-0.02,0.15,-0.01,0.09,0.05,0.17,-0.02,0.12,-0.01,0.12
Alief_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above,Alief_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2019,0.03,0.75,0.02,0.77,0.03,0.74,0.03,0.72,0.03,0.72,-0.06,0.66,0.03,0.73,0.02,0.73
Alief_ISD_Grade 7 Mathematics_At Meets Grade Level or Above,Alief_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2019,0.03,0.43,0.03,0.46,0.05,0.44,0.08,0.42,0.05,0.4,0.001,0.41,0.04,0.42,0.02,0.42
Alief_ISD_Grade 7 Mathematics_At Masters Grade Level,Alief_ISD,Grade 7 Mathematics,At Masters Grade Level,2019,-0.01,0.17,-0.02,0.18,0.001,0.18,0.03,0.17,-0.01,0.13,-0.03,0.15,0.001,0.17,-0.02,0.17
Alief_ISD_Grade 7 Reading_At Approaches Grade Level or Above,Alief_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2019,0.02,0.76,0.01,0.77,0.001,0.68,0.02,0.71,0.01,0.65,-0.16,0.59,0.001,0.67,-0.01,0.65
Alief_ISD_Grade 7 Reading_At Meets Grade Level or Above,Alief_ISD,Grade 7 Reading,At Meets Grade Level or Above,2019,0.01,0.49,0.01,0.51,0.001,0.41,0.02,0.43,0.001,0.35,-0.13,0.37,0.001,0.39,-0.01,0.37
Alief_ISD_Grade 7 Reading_At Masters Grade Level,Alief_ISD,Grade 7 Reading,At Masters Grade Level,2019,0.001,0.29,0.01,0.31,-0.02,0.22,-0.02,0.23,0.001,0.18,-0.08,0.19,-0.01,0.21,-0.02,0.19
Aristoi_Classical_Grade 5 Mathematics+_At Approaches Grade Level or Above,Aristoi_Classical,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,-0.01,0.9,-0.01,0.89,-0.08,0.86,0.001,1,-0.2,0.75,-0.06,0.87,-0.19,0.67,-0.06,0.8
