Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading and Mathematics Including EOC,2019,31%,32%,26%,30%,22%,30%,-,30%,-,*,8%,0%,26%,26%,25%,18%
,2018,31%,33%,26%,20%,24%,30%,-,58%,-,33%,36%,*,31%,23%,23%,22%
Reading Including EOC,2019,37%,38%,33%,39%,29%,40%,-,30%,-,*,11%,0%,31%,34%,32%,23%
,2018,39%,41%,34%,29%,32%,40%,-,58%,-,33%,36%,*,38%,31%,31%,30%
Math Including EOC,2019,48%,49%,43%,41%,40%,50%,-,63%,-,*,11%,0%,44%,42%,41%,40%
,2018,45%,47%,46%,36%,43%,42%,-,88%,-,86%,28%,*,52%,42%,43%,42%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,38%,35%,32%,40%,-,73%,-,67%,13%,*,41%,36%,36%,25%
,2018,35%,37%,42%,37%,39%,*,-,67%,-,40%,26%,17%,42%,41%,37%,39%
Reading and Mathematics Including EOC,2019,37%,40%,38%,35%,32%,40%,-,73%,-,67%,13%,*,41%,36%,36%,25%
,2018,36%,38%,42%,37%,39%,*,-,67%,-,40%,26%,17%,42%,41%,37%,39%
Reading Including EOC,2019,49%,51%,52%,52%,47%,60%,-,83%,-,67%,18%,*,56%,50%,51%,43%
,2018,48%,50%,52%,53%,46%,*,-,76%,-,40%,32%,17%,55%,50%,49%,44%
Math Including EOC,2019,48%,50%,48%,43%,43%,60%,-,83%,-,83%,18%,*,49%,47%,46%,36%
,2018,45%,46%,53%,49%,51%,*,-,73%,-,40%,18%,50%,55%,52%,49%,50%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,48%,46%,49%,50%,*,47%,-,*,28%,*,49%,47%,48%,44%
,2018,28%,30%,42%,41%,41%,20%,-,55%,-,-,20%,*,38%,46%,39%,27%
Reading and Mathematics Including EOC,2019,47%,48%,52%,50%,50%,56%,*,65%,-,*,28%,*,54%,50%,50%,46%
,2018,41%,43%,47%,45%,44%,33%,-,64%,-,*,20%,*,44%,49%,43%,28%
