Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
,2018,49%,51%,38%,23%,43%,30%,*,40%,-,40%,13%,40%,41%,34%,39%,44%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,30%,16%,34%,28%,*,40%,-,60%,14%,9%,31%,28%,30%,33%
,2018,44%,44%,34%,22%,37%,27%,-,-,*,60%,14%,22%,38%,26%,32%,36%
Reading and Mathematics Including EOC,2019,44%,44%,30%,16%,34%,28%,*,40%,-,60%,14%,9%,31%,28%,30%,33%
,2018,44%,44%,34%,22%,37%,27%,-,-,*,60%,14%,22%,38%,26%,32%,36%
Reading Including EOC,2019,54%,54%,44%,35%,45%,52%,*,60%,-,70%,17%,9%,44%,43%,42%,42%
,2018,54%,54%,44%,31%,47%,38%,-,-,*,80%,14%,33%,47%,37%,42%,45%
Math Including EOC,2019,58%,59%,45%,23%,51%,39%,*,60%,-,70%,19%,45%,47%,41%,45%,52%
,2018,58%,59%,50%,33%,55%,41%,-,-,*,80%,29%,44%,56%,40%,49%,57%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,17%,11%,17%,28%,*,-,-,40%,14%,0%,18%,15%,17%,16%
,2018,31%,33%,13%,11%,13%,15%,-,*,*,*,15%,25%,14%,10%,12%,13%
Reading and Mathematics Including EOC,2019,31%,32%,17%,11%,17%,28%,*,-,-,40%,14%,0%,18%,15%,17%,16%
