Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING ISD (101919) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2019,62%,63%,41%,34%,43%,68%,42%,71%,25%,65%,14%,26%,46%,32%,42%,25%
,2018,59%,60%,39%,30%,39%,65%,39%,74%,42%,59%,14%,25%,44%,28%,37%,28%
At Masters Grade Level,2019,25%,28%,13%,8%,12%,32%,23%,40%,13%,26%,1%,10%,14%,9%,12%,5%
,2018,24%,26%,11%,5%,10%,28%,17%,42%,17%,22%,1%,4%,13%,6%,9%,6%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,88%,86%,88%,96%,89%,97%,57%,95%,55%,91%,90%,81%,88%,71%
,2018,92%,91%,86%,84%,86%,94%,67%,94%,86%,94%,50%,84%,88%,79%,85%,69%
At Meets Grade Level or Above,2019,73%,75%,64%,59%,64%,78%,58%,82%,57%,80%,31%,41%,68%,52%,63%,28%
,2018,70%,71%,55%,48%,55%,75%,33%,86%,43%,75%,24%,44%,58%,45%,51%,29%
At Masters Grade Level,2019,45%,49%,32%,26%,31%,50%,26%,61%,14%,45%,13%,27%,35%,20%,29%,6%
,2018,40%,43%,24%,18%,24%,45%,6%,51%,43%,44%,9%,20%,26%,18%,20%,10%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,66%,59%,69%,77%,71%,85%,62%,75%,37%,57%,69%,60%,65%,63%
,2018,77%,77%,65%,58%,68%,76%,65%,86%,69%,77%,36%,56%,68%,59%,64%,65%
At Meets Grade Level or Above,2019,50%,51%,34%,27%,36%,47%,39%,64%,34%,44%,20%,23%,38%,28%,33%,30%
,2018,48%,49%,33%,25%,35%,48%,35%,63%,45%,41%,20%,25%,37%,26%,31%,32%
At Masters Grade Level,2019,24%,25%,13%,9%,14%,20%,16%,36%,13%,19%,6%,8%,15%,9%,12%,12%
,2018,22%,23%,12%,8%,12%,20%,14%,33%,19%,16%,5%,9%,13%,9%,10%,12%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,63%,56%,66%,74%,70%,80%,55%,73%,32%,51%,66%,58%,62%,59%
,2018,74%,74%,62%,55%,65%,73%,64%,82%,63%,77%,31%,52%,65%,56%,61%,62%
At Meets Grade Level or Above,2019,48%,49%,34%,27%,36%,47%,39%,59%,30%,45%,19%,21%,37%,28%,33%,29%
,2018,46%,47%,33%,26%,35%,48%,38%,60%,46%,44%,19%,23%,36%,27%,31%,31%
At Masters Grade Level,2019,21%,22%,11%,8%,12%,16%,14%,28%,9%,20%,5%,6%,12%,9%,11%,12%
,2018,19%,20%,11%,8%,11%,19%,13%,26%,17%,18%,5%,8%,11%,9%,10%,11%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,70%,62%,74%,79%,76%,91%,69%,77%,44%,65%,73%,65%,70%,71%
,2018,81%,82%,70%,62%,73%,79%,71%,90%,74%,81%,42%,64%,73%,64%,69%,72%
At Meets Grade Level or Above,2019,52%,53%,34%,26%,37%,44%,44%,69%,49%,42%,21%,25%,38%,27%,33%,35%
,2018,50%,51%,32%,24%,36%,44%,36%,66%,48%,40%,21%,25%,36%,26%,31%,36%
At Masters Grade Level,2019,26%,28%,14%,9%,16%,19%,20%,43%,24%,19%,7%,9%,16%,10%,13%,15%
,2018,24%,25%,13%,8%,14%,18%,16%,42%,18%,16%,6%,8%,15%,9%,12%,15%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,57%,48%,60%,69%,69%,81%,44%,71%,31%,46%,59%,53%,56%,60%
,2018,66%,66%,53%,46%,57%,62%,59%,79%,69%,53%,27%,32%,58%,47%,52%,57%
At Meets Grade Level or Above,2019,38%,39%,27%,21%,28%,36%,29%,58%,11%,41%,22%,20%,29%,23%,26%,27%
,2018,41%,42%,28%,22%,30%,35%,33%,52%,38%,34%,20%,18%,31%,22%,26%,31%
At Masters Grade Level,2019,14%,15%,8%,6%,7%,12%,8%,25%,11%,15%,9%,7%,9%,6%,7%,6%
,2018,13%,13%,6%,4%,6%,8%,4%,13%,13%,5%,5%,1%,7%,4%,5%,6%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,68%,62%,71%,81%,67%,89%,76%,76%,40%,55%,72%,62%,67%,64%
,2018,80%,80%,69%,63%,71%,82%,63%,92%,67%,86%,39%,60%,73%,63%,68%,66%
At Meets Grade Level or Above,2019,54%,55%,36%,28%,39%,55%,39%,64%,24%,50%,20%,25%,41%,28%,35%,29%
,2018,51%,52%,36%,27%,37%,57%,34%,67%,42%,42%,18%,31%,41%,27%,33%,32%
At Masters Grade Level,2019,25%,27%,12%,8%,13%,25%,21%,38%,8%,17%,6%,7%,15%,9%,12%,10%
,2018,23%,24%,12%,7%,13%,27%,18%,37%,25%,19%,4%,13%,15%,8%,11%,11%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,68%,63%,69%,79%,60%,88%,53%,77%,41%,66%,72%,57%,66%,49%
,2018,78%,79%,66%,62%,67%,81%,53%,86%,82%,76%,40%,59%,70%,57%,62%,51%
At Meets Grade Level or Above,2019,55%,57%,40%,35%,41%,58%,36%,67%,33%,45%,25%,24%,45%,29%,38%,16%
,2018,53%,54%,36%,31%,36%,57%,27%,68%,36%,41%,22%,27%,40%,29%,32%,20%
At Masters Grade Level,2019,33%,36%,20%,15%,20%,34%,16%,49%,7%,23%,11%,14%,23%,12%,18%,4%
,2018,31%,32%,16%,11%,16%,30%,11%,41%,27%,22%,7%,13%,17%,12%,12%,7%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,24%,18%,26%,34%,33%,52%,33%,24%,19%,12%,27%,19%,23%,29%
,2018,34%,34%,23%,14%,26%,31%,31%,58%,*,28%,27%,15%,25%,17%,21%,28%
Reading and Mathematics Including EOC,2019,35%,36%,24%,18%,26%,34%,33%,52%,33%,24%,19%,12%,27%,19%,23%,29%
,2018,34%,34%,23%,14%,26%,31%,31%,58%,*,28%,27%,15%,25%,17%,21%,28%
Reading Including EOC,2019,45%,45%,35%,28%,38%,40%,43%,55%,33%,37%,24%,24%,37%,30%,33%,41%
,2018,43%,44%,32%,22%,36%,41%,40%,65%,*,43%,29%,21%,35%,26%,30%,39%
Math Including EOC,2019,49%,48%,34%,26%,36%,48%,43%,64%,83%,41%,26%,22%,37%,27%,32%,38%
,2018,47%,48%,34%,24%,38%,42%,36%,67%,*,43%,32%,32%,37%,27%,32%,39%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,24%,16%,26%,33%,29%,66%,*,31%,25%,21%,27%,19%,22%,28%
,2018,36%,37%,23%,16%,27%,30%,29%,52%,50%,26%,20%,20%,28%,18%,22%,31%
Reading and Mathematics Including EOC,2019,35%,36%,24%,16%,26%,33%,29%,66%,*,31%,25%,21%,27%,19%,22%,28%
,2018,36%,37%,23%,16%,27%,30%,29%,52%,50%,26%,20%,20%,28%,18%,22%,31%
Reading Including EOC,2019,44%,45%,33%,25%,35%,39%,38%,72%,*,52%,29%,26%,36%,28%,31%,38%
,2018,46%,46%,32%,23%,35%,39%,33%,56%,67%,39%,23%,24%,35%,27%,30%,38%
Math Including EOC,2019,48%,49%,35%,25%,39%,48%,43%,78%,*,42%,30%,37%,39%,30%,34%,41%
,2018,49%,51%,36%,24%,42%,43%,47%,69%,50%,40%,23%,33%,41%,30%,34%,46%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,32%,23%,36%,37%,34%,65%,40%,34%,18%,21%,35%,26%,30%,37%
,2018,44%,44%,32%,24%,34%,40%,28%,65%,25%,37%,20%,27%,35%,26%,29%,36%
Reading and Mathematics Including EOC,2019,44%,44%,32%,23%,36%,37%,34%,65%,40%,34%,18%,21%,35%,26%,30%,37%
,2018,44%,44%,32%,24%,34%,40%,28%,65%,25%,37%,20%,27%,35%,26%,29%,36%
Reading Including EOC,2019,54%,54%,41%,33%,45%,49%,37%,67%,60%,43%,24%,26%,44%,37%,39%,44%
,2018,54%,54%,42%,35%,45%,57%,34%,70%,25%,55%,23%,38%,45%,38%,40%,44%
Math Including EOC,2019,58%,59%,46%,35%,52%,50%,54%,77%,60%,51%,24%,36%,51%,38%,44%,55%
,2018,58%,59%,46%,35%,52%,54%,38%,81%,63%,52%,25%,41%,51%,38%,45%,54%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,17%,13%,17%,24%,11%,40%,14%,22%,14%,9%,19%,12%,16%,15%
,2018,31%,33%,16%,13%,15%,33%,20%,37%,29%,21%,22%,10%,19%,12%,15%,15%
Reading and Mathematics Including EOC,2019,31%,32%,17%,13%,17%,24%,11%,40%,14%,22%,14%,9%,19%,12%,16%,15%
,2018,31%,33%,16%,13%,15%,33%,20%,37%,29%,21%,22%,10%,19%,12%,15%,15%
Reading Including EOC,2019,37%,38%,26%,22%,26%,39%,32%,43%,14%,33%,16%,17%,28%,21%,24%,21%
,2018,39%,41%,28%,23%,28%,51%,40%,56%,29%,33%,24%,23%,32%,23%,26%,26%
Math Including EOC,2019,48%,49%,27%,20%,29%,38%,26%,66%,43%,31%,17%,21%,31%,20%,27%,26%
,2018,45%,47%,24%,18%,24%,41%,21%,52%,43%,31%,19%,19%,27%,18%,21%,24%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,22%,18%,22%,38%,36%,54%,33%,33%,19%,11%,26%,16%,22%,18%
,2018,35%,37%,20%,14%,21%,31%,26%,54%,*,22%,25%,7%,24%,13%,18%,18%
Reading and Mathematics Including EOC,2019,37%,40%,22%,18%,22%,38%,36%,54%,33%,33%,19%,11%,26%,16%,22%,18%
,2018,36%,38%,20%,14%,21%,31%,26%,54%,*,22%,25%,7%,24%,13%,18%,18%
Reading Including EOC,2019,49%,51%,37%,30%,37%,55%,45%,68%,50%,53%,20%,26%,40%,30%,36%,31%
,2018,48%,50%,37%,30%,39%,49%,44%,63%,*,43%,27%,18%,41%,30%,35%,35%
Math Including EOC,2019,48%,50%,27%,21%,28%,45%,41%,57%,33%,40%,19%,20%,30%,22%,27%,24%
