Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CROSBY ISD (101906) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,87%,86%,89%,84%,86%,92%,*,*,-,100%,65%,83%,91%,85%,85%,77%
At Meets Grade Level or Above,2019,62%,63%,62%,45%,57%,73%,*,*,-,78%,36%,60%,65%,54%,51%,36%
,2018,59%,60%,63%,48%,51%,77%,*,*,-,67%,19%,50%,65%,58%,49%,34%
At Masters Grade Level,2019,25%,28%,21%,9%,20%,29%,*,*,-,11%,8%,20%,23%,19%,15%,5%
,2018,24%,26%,25%,13%,18%,35%,*,*,-,22%,5%,17%,28%,20%,15%,8%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,93%,83%,93%,98%,-,*,-,100%,69%,*,94%,92%,90%,81%
,2018,92%,91%,71%,71%,67%,73%,-,-,-,*,61%,*,63%,78%,67%,52%
At Meets Grade Level or Above,2019,73%,75%,79%,63%,72%,90%,-,*,-,100%,49%,*,81%,71%,70%,56%
,2018,70%,71%,32%,29%,31%,33%,-,-,-,*,28%,*,9%,53%,27%,19%
At Masters Grade Level,2019,45%,49%,53%,40%,47%,62%,-,*,-,75%,29%,*,55%,43%,38%,28%
,2018,40%,43%,13%,11%,7%,20%,-,-,-,*,11%,*,4%,22%,9%,0%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,78%,70%,78%,82%,81%,84%,*,76%,45%,75%,80%,75%,73%,71%
,2018,77%,77%,77%,68%,75%,82%,79%,92%,*,81%,46%,66%,78%,74%,71%,69%
At Meets Grade Level or Above,2019,50%,51%,49%,39%,46%,55%,37%,70%,*,44%,22%,40%,51%,44%,41%,36%
,2018,48%,49%,46%,35%,42%,52%,52%,72%,*,47%,21%,33%,48%,41%,37%,34%
At Masters Grade Level,2019,24%,25%,20%,14%,18%,24%,11%,42%,*,19%,9%,16%,22%,17%,15%,13%
,2018,22%,23%,18%,13%,14%,22%,17%,36%,*,19%,6%,12%,19%,15%,13%,10%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,75%,64%,73%,79%,83%,75%,*,77%,37%,73%,77%,70%,68%,65%
,2018,74%,74%,73%,65%,70%,79%,82%,77%,*,82%,36%,62%,75%,69%,67%,62%
At Meets Grade Level or Above,2019,48%,49%,46%,36%,42%,53%,17%,60%,*,43%,16%,39%,48%,41%,37%,28%
,2018,46%,47%,42%,32%,37%,49%,36%,69%,*,49%,18%,25%,44%,37%,33%,25%
At Masters Grade Level,2019,21%,22%,16%,11%,13%,20%,8%,30%,*,18%,7%,15%,17%,14%,11%,9%
,2018,19%,20%,15%,10%,12%,19%,9%,31%,*,19%,5%,12%,16%,12%,10%,7%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,84%,78%,85%,86%,90%,92%,*,75%,56%,88%,85%,83%,81%,84%
,2018,81%,82%,85%,77%,86%,88%,90%,100%,*,80%,62%,77%,86%,83%,82%,84%
At Meets Grade Level or Above,2019,52%,53%,53%,44%,52%,57%,60%,85%,*,41%,27%,46%,55%,48%,47%,48%
,2018,50%,51%,52%,41%,51%,57%,70%,82%,*,48%,25%,43%,55%,48%,46%,48%
At Masters Grade Level,2019,26%,28%,23%,18%,22%,27%,20%,54%,*,19%,9%,18%,25%,21%,18%,20%
,2018,24%,25%,22%,17%,20%,26%,40%,45%,*,16%,7%,8%,23%,20%,17%,17%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,63%,52%,63%,66%,*,*,-,50%,23%,53%,65%,59%,54%,55%
,2018,66%,66%,63%,53%,59%,68%,*,100%,*,69%,31%,35%,63%,62%,56%,52%
At Meets Grade Level or Above,2019,38%,39%,32%,22%,30%,37%,*,*,-,15%,9%,21%,35%,26%,23%,24%
,2018,41%,42%,37%,31%,34%,42%,*,40%,*,19%,23%,12%,39%,33%,29%,24%
At Masters Grade Level,2019,14%,15%,10%,7%,8%,15%,*,*,-,5%,3%,11%,11%,8%,5%,5%
,2018,13%,13%,10%,5%,7%,14%,*,0%,*,13%,3%,6%,11%,8%,6%,2%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,84%,77%,84%,87%,*,89%,*,85%,57%,68%,85%,83%,80%,77%
,2018,80%,80%,82%,71%,80%,88%,80%,100%,-,89%,49%,78%,85%,77%,76%,76%
At Meets Grade Level or Above,2019,54%,55%,54%,41%,51%,61%,*,78%,*,56%,29%,44%,56%,51%,46%,39%
,2018,51%,52%,52%,37%,43%,65%,60%,83%,-,59%,19%,44%,56%,45%,40%,34%
At Masters Grade Level,2019,25%,27%,23%,14%,20%,27%,*,56%,*,15%,10%,16%,24%,20%,17%,12%
,2018,23%,24%,21%,14%,15%,30%,0%,50%,-,19%,8%,19%,24%,15%,14%,7%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,81%,71%,79%,85%,-,86%,*,92%,50%,70%,82%,77%,75%,62%
,2018,78%,79%,65%,53%,59%,74%,*,*,-,75%,43%,60%,66%,62%,56%,41%
At Meets Grade Level or Above,2019,55%,57%,57%,49%,53%,63%,-,71%,*,83%,35%,40%,61%,48%,49%,31%
,2018,53%,54%,34%,29%,32%,37%,*,*,-,50%,18%,30%,34%,33%,26%,13%
At Masters Grade Level,2019,33%,36%,37%,30%,34%,42%,-,43%,*,67%,16%,30%,41%,28%,27%,16%
,2018,31%,32%,19%,17%,16%,23%,*,*,-,33%,6%,20%,21%,16%,14%,3%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,30%,16%,26%,39%,*,*,-,21%,12%,36%,33%,22%,21%,26%
,2018,34%,34%,24%,10%,18%,32%,*,-,-,30%,16%,0%,25%,21%,14%,20%
Reading and Mathematics Including EOC,2019,35%,36%,30%,16%,26%,39%,*,*,-,21%,12%,36%,33%,22%,21%,26%
,2018,34%,34%,24%,10%,18%,32%,*,-,-,30%,16%,0%,25%,21%,14%,20%
Reading Including EOC,2019,45%,45%,38%,21%,35%,46%,*,*,-,36%,14%,45%,40%,32%,28%,30%
,2018,43%,44%,34%,15%,28%,44%,*,-,-,50%,20%,14%,36%,29%,23%,28%
Math Including EOC,2019,49%,48%,43%,26%,39%,52%,*,*,-,43%,21%,59%,46%,34%,37%,41%
,2018,47%,48%,35%,20%,32%,42%,*,-,-,40%,22%,0%,37%,32%,28%,35%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,21%,7%,22%,25%,*,-,-,8%,13%,0%,24%,16%,17%,21%
,2018,36%,37%,30%,26%,25%,35%,*,*,-,15%,18%,0%,33%,25%,25%,18%
Reading and Mathematics Including EOC,2019,35%,36%,21%,7%,22%,25%,*,-,-,8%,13%,0%,24%,16%,17%,21%
,2018,36%,37%,30%,26%,25%,35%,*,*,-,15%,18%,0%,33%,25%,25%,18%
Reading Including EOC,2019,44%,45%,38%,20%,38%,44%,*,-,-,42%,17%,9%,41%,32%,29%,31%
,2018,46%,46%,41%,37%,35%,46%,*,*,-,38%,23%,0%,44%,35%,34%,27%
Math Including EOC,2019,48%,49%,27%,14%,29%,31%,*,-,-,17%,23%,0%,32%,19%,23%,31%
,2018,49%,51%,44%,37%,41%,48%,*,*,-,38%,38%,25%,45%,40%,39%,34%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,39%,35%,40%,40%,*,*,-,29%,13%,14%,41%,37%,34%,37%
,2018,44%,44%,41%,37%,41%,44%,*,*,-,25%,19%,25%,46%,31%,36%,49%
Reading and Mathematics Including EOC,2019,44%,44%,39%,35%,40%,40%,*,*,-,29%,13%,14%,41%,37%,34%,37%
,2018,44%,44%,41%,37%,41%,44%,*,*,-,25%,19%,25%,46%,31%,36%,49%
Reading Including EOC,2019,54%,54%,49%,45%,47%,51%,*,*,-,50%,18%,14%,48%,51%,46%,44%
,2018,54%,54%,50%,49%,45%,56%,*,*,-,38%,29%,33%,54%,42%,44%,47%
