Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,74%,74%,81%,79%,77%,85%,100%,92%,-,87%,38%,62%,84%,78%,77%,74%
At Meets Grade Level or Above,2019,48%,49%,55%,52%,48%,70%,33%,77%,*,63%,21%,29%,62%,48%,48%,43%
,2018,46%,47%,54%,49%,47%,58%,71%,75%,-,63%,23%,29%,60%,48%,47%,41%
At Masters Grade Level,2019,21%,22%,28%,26%,20%,43%,17%,50%,*,34%,11%,10%,31%,24%,22%,20%
,2018,19%,20%,25%,21%,19%,28%,29%,47%,-,24%,8%,11%,29%,21%,19%,18%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,86%,82%,83%,90%,67%,98%,*,91%,56%,78%,88%,83%,82%,84%
,2018,81%,82%,86%,81%,83%,88%,80%,98%,*,88%,55%,76%,87%,84%,82%,83%
At Meets Grade Level or Above,2019,52%,53%,57%,51%,50%,71%,50%,86%,*,60%,24%,44%,62%,53%,50%,51%
,2018,50%,51%,55%,49%,48%,60%,40%,84%,*,56%,24%,50%,61%,50%,48%,47%
At Masters Grade Level,2019,26%,28%,33%,27%,25%,46%,0%,65%,*,32%,13%,19%,38%,28%,25%,26%
,2018,24%,25%,30%,23%,22%,33%,20%,63%,*,32%,10%,15%,36%,25%,23%,21%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,74%,70%,69%,92%,*,87%,*,88%,27%,50%,77%,71%,68%,69%
,2018,66%,66%,69%,68%,61%,73%,*,93%,-,78%,37%,50%,71%,68%,63%,58%
At Meets Grade Level or Above,2019,38%,39%,44%,41%,37%,57%,*,65%,*,58%,15%,40%,50%,39%,36%,34%
,2018,41%,42%,43%,40%,34%,47%,*,75%,-,44%,14%,25%,46%,40%,36%,29%
At Masters Grade Level,2019,14%,15%,17%,14%,10%,33%,*,35%,*,21%,3%,20%,20%,14%,11%,9%
,2018,13%,13%,13%,9%,8%,11%,*,39%,-,11%,4%,0%,17%,10%,9%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,78%,75%,75%,84%,*,94%,*,97%,49%,36%,83%,74%,74%,71%
