Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ALDINE ISD (101902) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading and Mathematics,2019,31%,32%,15%,13%,15%,18%,50%,45%,50%,23%,14%,9%,16%,13%,14%,8%
,2018,31%,33%,20%,15%,21%,33%,14%,48%,*,30%,19%,13%,22%,16%,19%,20%
Reading and Mathematics Including EOC,2019,31%,32%,15%,13%,15%,18%,50%,45%,50%,23%,14%,9%,16%,13%,14%,8%
,2018,31%,33%,20%,15%,21%,33%,14%,48%,*,30%,19%,13%,22%,16%,19%,20%
Reading Including EOC,2019,37%,38%,22%,21%,21%,33%,67%,50%,63%,23%,16%,14%,22%,19%,20%,12%
,2018,39%,41%,29%,25%,29%,45%,14%,49%,*,35%,21%,15%,30%,23%,27%,27%
Math Including EOC,2019,48%,49%,30%,22%,32%,32%,50%,73%,50%,27%,18%,16%,32%,23%,28%,22%
,2018,45%,47%,37%,27%,40%,46%,57%,82%,*,38%,20%,30%,40%,30%,37%,39%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,25%,20%,26%,40%,20%,69%,17%,22%,15%,12%,27%,20%,24%,12%
,2018,35%,37%,21%,16%,22%,28%,*,61%,25%,15%,20%,5%,23%,16%,21%,18%
Reading and Mathematics Including EOC,2019,37%,40%,25%,20%,26%,40%,20%,69%,17%,22%,15%,12%,27%,20%,24%,12%
,2018,36%,38%,21%,16%,22%,28%,*,61%,25%,15%,20%,5%,23%,16%,21%,18%
Reading Including EOC,2019,49%,51%,37%,32%,38%,54%,17%,74%,33%,30%,17%,21%,39%,31%,35%,19%
,2018,48%,50%,34%,29%,34%,57%,*,63%,50%,45%,23%,15%,36%,27%,33%,30%
Math Including EOC,2019,48%,50%,37%,29%,38%,49%,60%,87%,33%,22%,19%,23%,39%,29%,35%,24%
,2018,45%,46%,29%,20%,32%,34%,*,73%,25%,24%,18%,16%,33%,21%,29%,29%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,28%,23%,30%,39%,*,56%,14%,50%,15%,6%,31%,22%,27%,11%
,2018,28%,30%,23%,17%,25%,26%,*,39%,0%,46%,25%,11%,25%,19%,22%,19%
Reading and Mathematics Including EOC,2019,47%,48%,33%,25%,34%,43%,*,66%,25%,55%,15%,8%,36%,24%,31%,11%
,2018,41%,43%,28%,21%,29%,30%,*,64%,11%,46%,25%,13%,30%,20%,27%,20%
Reading Including EOC,2019,55%,56%,42%,35%,44%,58%,*,72%,25%,73%,20%,12%,45%,33%,41%,16%
,2018,50%,51%,36%,33%,37%,39%,40%,66%,22%,44%,25%,19%,38%,29%,35%,26%
Math Including EOC,2019,62%,64%,50%,37%,53%,58%,*,81%,63%,59%,23%,23%,54%,39%,49%,34%
,2018,58%,60%,46%,30%,50%,48%,40%,78%,22%,60%,26%,35%,50%,34%,45%,44%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
