Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,25%,27%,18%,16%,17%,27%,17%,58%,-,27%,7%,14%,20%,11%,16%,13%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,39%,36%,39%,44%,*,71%,-,83%,16%,50%,41%,31%,36%,34%
,2019,69%,70%,63%,63%,63%,63%,67%,83%,-,64%,29%,73%,66%,55%,61%,58%
At Meets Grade Level or Above,2021,28%,29%,11%,9%,11%,13%,*,57%,-,33%,8%,21%,12%,7%,10%,8%
,2019,37%,38%,29%,26%,29%,39%,17%,67%,-,45%,16%,41%,32%,22%,28%,24%
At Masters Grade Level,2021,14%,15%,3%,2%,3%,2%,*,43%,-,17%,2%,0%,3%,2%,2%,2%
,2019,21%,23%,16%,13%,15%,25%,17%,42%,-,27%,7%,27%,18%,10%,14%,12%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,62%,62%,61%,73%,80%,100%,-,70%,30%,59%,65%,52%,60%,51%
,2019,68%,67%,67%,68%,67%,73%,60%,79%,*,60%,27%,33%,71%,55%,66%,58%
At Meets Grade Level or Above,2021,50%,51%,42%,42%,41%,48%,60%,92%,-,50%,20%,29%,46%,30%,40%,29%
,2019,50%,50%,44%,41%,45%,47%,60%,71%,*,50%,16%,19%,48%,32%,42%,33%
At Masters Grade Level,2021,12%,14%,5%,3%,5%,2%,0%,23%,-,10%,2%,0%,6%,2%,4%,2%
,2019,11%,11%,5%,5%,5%,9%,0%,29%,*,0%,0%,0%,6%,3%,4%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,62%,60%,62%,70%,86%,91%,*,73%,25%,53%,66%,52%,60%,47%
,2019,68%,69%,66%,67%,66%,63%,*,81%,*,91%,31%,53%,70%,55%,65%,51%
At Meets Grade Level or Above,2021,57%,58%,47%,44%,46%,57%,71%,82%,*,64%,18%,47%,51%,34%,45%,28%
,2019,49%,50%,40%,38%,40%,44%,*,75%,*,64%,16%,7%,43%,31%,39%,23%
At Masters Grade Level,2021,11%,12%,4%,3%,3%,11%,0%,36%,*,0%,2%,0%,4%,2%,3%,1%
,2019,8%,9%,3%,3%,3%,5%,*,13%,*,18%,3%,0%,4%,2%,3%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,79%,75%,80%,79%,100%,88%,-,78%,50%,67%,80%,75%,77%,77%
,2019,85%,84%,93%,92%,93%,95%,100%,100%,*,100%,67%,71%,94%,89%,92%,92%
At Meets Grade Level or Above,2021,41%,44%,52%,48%,53%,49%,40%,88%,-,44%,27%,50%,55%,43%,49%,49%
,2019,61%,61%,75%,68%,76%,79%,100%,83%,*,91%,33%,47%,79%,63%,74%,75%
At Masters Grade Level,2021,23%,26%,28%,22%,29%,30%,20%,88%,-,0%,10%,33%,31%,17%,25%,24%
,2019,37%,38%,49%,41%,50%,53%,67%,67%,*,64%,11%,18%,53%,37%,48%,49%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,78%,79%,77%,79%,100%,100%,-,78%,49%,79%,81%,68%,77%,70%
,2019,88%,88%,87%,87%,87%,95%,100%,92%,*,100%,56%,72%,90%,79%,87%,83%
