Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD (101907) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,25%,27%,37%,22%,28%,56%,25%,66%,42%,51%,11%,35%,41%,25%,25%,22%
,2018,23%,24%,32%,18%,22%,49%,27%,60%,52%,45%,8%,28%,35%,22%,20%,16%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,88%,83%,85%,95%,79%,97%,92%,92%,63%,79%,91%,81%,83%,70%
,2018,78%,79%,87%,80%,83%,94%,78%,96%,87%,90%,58%,82%,89%,80%,80%,66%
At Meets Grade Level or Above,2019,55%,57%,68%,58%,60%,81%,51%,86%,67%,76%,38%,53%,71%,56%,57%,35%
,2018,53%,54%,66%,56%,58%,79%,63%,85%,80%,71%,34%,57%,69%,55%,55%,34%
At Masters Grade Level,2019,33%,36%,47%,34%,38%,63%,26%,71%,39%,60%,16%,31%,50%,35%,35%,17%
,2018,31%,32%,45%,32%,35%,60%,43%,68%,73%,57%,11%,39%,48%,33%,32%,15%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,37%,25%,28%,52%,29%,66%,33%,46%,22%,28%,39%,29%,26%,31%
,2018,34%,34%,38%,25%,28%,53%,25%,63%,42%,48%,24%,34%,39%,30%,26%,30%
Reading and Mathematics Including EOC,2019,35%,36%,37%,25%,28%,52%,29%,66%,33%,46%,22%,28%,39%,29%,26%,31%
,2018,34%,34%,38%,25%,28%,53%,25%,63%,42%,48%,24%,34%,39%,30%,26%,30%
Reading Including EOC,2019,45%,45%,48%,38%,40%,61%,38%,72%,50%,59%,26%,39%,50%,40%,37%,42%
,2018,43%,44%,48%,36%,39%,65%,29%,67%,50%,59%,30%,40%,49%,42%,36%,38%
Math Including EOC,2019,49%,48%,49%,34%,40%,65%,33%,78%,33%,57%,30%,41%,51%,39%,37%,43%
,2018,47%,48%,50%,35%,41%,65%,29%,79%,67%,57%,34%,49%,52%,40%,38%,46%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,39%,24%,30%,55%,26%,66%,55%,49%,19%,34%,42%,31%,27%,32%
,2018,36%,37%,42%,29%,32%,58%,21%,70%,60%,52%,25%,28%,44%,34%,29%,34%
Reading and Mathematics Including EOC,2019,35%,36%,39%,24%,30%,55%,26%,66%,55%,49%,19%,34%,42%,31%,27%,32%
,2018,36%,37%,42%,29%,32%,58%,21%,70%,60%,52%,25%,28%,44%,34%,29%,34%
Reading Including EOC,2019,44%,45%,48%,35%,40%,65%,41%,70%,64%,63%,23%,44%,51%,41%,37%,41%
,2018,46%,46%,53%,41%,45%,69%,39%,74%,60%,70%,32%,41%,56%,47%,42%,44%
Math Including EOC,2019,48%,49%,51%,34%,42%,67%,33%,80%,64%,57%,27%,53%,54%,43%,39%,47%
,2018,49%,51%,53%,39%,44%,70%,38%,81%,60%,60%,31%,43%,56%,45%,41%,47%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,51%,38%,42%,67%,34%,75%,*,63%,24%,47%,54%,42%,39%,44%
,2018,44%,44%,50%,36%,41%,69%,32%,76%,50%,63%,26%,48%,53%,41%,37%,44%
Reading and Mathematics Including EOC,2019,44%,44%,51%,38%,42%,67%,34%,75%,*,63%,24%,47%,54%,42%,39%,44%
,2018,44%,44%,50%,36%,41%,69%,32%,76%,50%,63%,26%,48%,53%,41%,37%,44%
Reading Including EOC,2019,54%,54%,61%,52%,53%,77%,46%,78%,*,75%,30%,55%,64%,53%,50%,53%
,2018,54%,54%,61%,50%,54%,78%,47%,80%,50%,73%,32%,59%,64%,52%,50%,54%
Math Including EOC,2019,58%,59%,62%,50%,56%,75%,56%,87%,*,68%,33%,66%,65%,55%,52%,59%
,2018,58%,59%,63%,47%,55%,79%,45%,89%,83%,72%,41%,58%,65%,54%,51%,59%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,39%,26%,29%,56%,13%,66%,57%,52%,19%,36%,42%,29%,26%,21%
,2018,31%,33%,40%,25%,29%,58%,29%,71%,40%,56%,17%,36%,43%,31%,26%,24%
Reading and Mathematics Including EOC,2019,31%,32%,39%,26%,29%,56%,13%,66%,57%,52%,19%,36%,42%,29%,26%,21%
,2018,31%,33%,40%,25%,29%,58%,29%,71%,40%,56%,17%,36%,43%,31%,26%,24%
Reading Including EOC,2019,37%,38%,45%,34%,37%,61%,18%,67%,71%,57%,22%,42%,48%,36%,33%,27%
,2018,39%,41%,48%,34%,38%,63%,34%,74%,50%,60%,20%,43%,50%,39%,35%,33%
Math Including EOC,2019,48%,49%,55%,39%,46%,73%,45%,87%,71%,69%,28%,55%,59%,44%,41%,39%
,2018,45%,47%,55%,39%,43%,74%,43%,88%,70%,67%,29%,58%,58%,44%,41%,41%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,46%,31%,36%,65%,42%,78%,45%,60%,19%,43%,50%,36%,33%,25%
,2018,35%,37%,44%,29%,35%,60%,24%,74%,62%,54%,17%,33%,47%,33%,30%,23%
Reading and Mathematics Including EOC,2019,37%,40%,47%,31%,36%,65%,42%,79%,45%,60%,19%,43%,50%,36%,33%,25%
,2018,36%,38%,44%,29%,35%,60%,24%,75%,62%,55%,17%,34%,48%,33%,30%,23%
Reading Including EOC,2019,49%,51%,59%,47%,51%,74%,54%,82%,64%,70%,26%,52%,62%,49%,47%,38%
,2018,48%,50%,56%,43%,48%,71%,42%,79%,71%,64%,22%,43%,60%,46%,44%,36%
Math Including EOC,2019,48%,50%,56%,40%,47%,74%,54%,88%,73%,68%,27%,61%,60%,46%,43%,38%
,2018,45%,46%,54%,37%,44%,69%,33%,87%,81%,62%,23%,46%,57%,42%,40%,35%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,36%,28%,32%,52%,33%,64%,67%,39%,18%,28%,38%,32%,29%,21%
,2018,28%,30%,32%,24%,27%,46%,40%,56%,*,41%,21%,31%,33%,29%,25%,16%
Reading and Mathematics Including EOC,2019,47%,48%,58%,43%,50%,75%,45%,84%,75%,62%,20%,42%,62%,44%,45%,32%
,2018,41%,43%,52%,37%,42%,68%,53%,77%,50%,65%,22%,45%,55%,41%,38%,23%
Reading Including EOC,2019,55%,56%,64%,51%,57%,78%,48%,85%,75%,68%,25%,48%,68%,50%,52%,39%
,2018,50%,51%,57%,46%,48%,73%,56%,78%,50%,67%,26%,46%,60%,48%,44%,26%
