Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2019,49%,50%,40%,38%,40%,44%,*,75%,*,64%,16%,7%,43%,31%,39%,23%
,2018,48%,48%,41%,39%,41%,45%,*,69%,-,63%,9%,25%,45%,28%,40%,26%
At Masters Grade Level,2019,8%,9%,3%,3%,3%,5%,*,13%,*,18%,3%,0%,4%,2%,3%,1%
,2018,8%,9%,3%,4%,3%,6%,*,23%,-,13%,1%,0%,4%,2%,3%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,93%,92%,93%,95%,100%,100%,*,100%,67%,71%,94%,89%,92%,92%
,2018,83%,83%,91%,91%,90%,94%,*,100%,*,100%,72%,84%,92%,85%,90%,89%
At Meets Grade Level or Above,2019,61%,61%,75%,68%,76%,79%,100%,83%,*,91%,33%,47%,79%,63%,74%,75%
,2018,55%,55%,61%,58%,60%,76%,*,91%,*,71%,33%,55%,65%,48%,59%,56%
At Masters Grade Level,2019,37%,38%,49%,41%,50%,53%,67%,67%,*,64%,11%,18%,53%,37%,48%,49%
,2018,32%,34%,34%,25%,35%,49%,*,91%,*,14%,5%,23%,38%,22%,33%,31%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,87%,87%,87%,95%,100%,92%,*,100%,56%,72%,90%,79%,87%,83%
,2018,87%,86%,87%,90%,86%,92%,*,92%,*,91%,63%,84%,90%,77%,86%,79%
At Meets Grade Level or Above,2019,62%,63%,56%,57%,55%,67%,33%,85%,*,63%,20%,39%,61%,41%,54%,46%
,2018,59%,60%,50%,46%,50%,65%,*,92%,*,64%,21%,32%,56%,35%,49%,37%
At Masters Grade Level,2019,25%,28%,16%,13%,16%,25%,0%,54%,*,0%,3%,17%,18%,10%,14%,9%
,2018,24%,26%,13%,10%,13%,29%,*,75%,*,27%,4%,6%,15%,7%,12%,8%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,94%,92%,94%,90%,*,100%,-,100%,68%,90%,95%,89%,93%,88%
,2018,92%,91%,92%,91%,92%,92%,-,100%,-,100%,60%,93%,94%,86%,91%,83%
At Meets Grade Level or Above,2019,73%,75%,71%,69%,72%,69%,*,83%,-,100%,31%,60%,73%,62%,70%,54%
,2018,70%,71%,66%,67%,66%,67%,-,90%,-,77%,26%,50%,70%,55%,66%,45%
At Masters Grade Level,2019,45%,49%,35%,28%,37%,35%,*,75%,-,40%,10%,30%,37%,27%,34%,21%
,2018,40%,43%,31%,33%,29%,38%,-,70%,-,54%,7%,29%,33%,23%,30%,15%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,78%,75%,78%,79%,79%,93%,92%,84%,41%,70%,80%,70%,76%,76%
,2018,77%,77%,76%,74%,76%,78%,78%,93%,100%,84%,42%,70%,78%,69%,75%,73%
At Meets Grade Level or Above,2019,50%,51%,46%,42%,47%,51%,51%,78%,69%,54%,19%,35%,49%,37%,44%,43%
,2018,48%,49%,44%,40%,44%,49%,32%,76%,58%,47%,19%,36%,46%,36%,42%,40%
At Masters Grade Level,2019,24%,25%,18%,14%,19%,24%,16%,48%,23%,21%,5%,13%,20%,13%,17%,17%
,2018,22%,23%,16%,13%,16%,21%,15%,51%,0%,18%,4%,14%,18%,13%,15%,15%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,73%,71%,73%,75%,68%,90%,100%,81%,34%,62%,76%,64%,72%,70%
