Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CHANNELVIEW ISD (101905) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,46%,46%,37%,32%,37%,38%,44%,80%,*,*,19%,25%,39%,32%,35%,36%
Math Including EOC,2019,48%,49%,52%,29%,54%,57%,80%,*,-,67%,31%,50%,54%,48%,51%,59%
,2018,49%,51%,48%,33%,50%,53%,56%,100%,*,*,22%,58%,50%,44%,45%,52%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,36%,31%,36%,35%,71%,60%,*,*,18%,13%,38%,32%,33%,38%
,2018,44%,44%,37%,22%,37%,52%,35%,56%,-,*,23%,13%,41%,28%,35%,36%
Reading and Mathematics Including EOC,2019,44%,44%,36%,31%,36%,35%,71%,60%,*,*,18%,13%,38%,32%,33%,38%
,2018,44%,44%,37%,22%,37%,52%,35%,56%,-,*,23%,13%,41%,28%,35%,36%
Reading Including EOC,2019,54%,54%,43%,39%,43%,51%,71%,60%,*,*,22%,13%,45%,40%,40%,45%
,2018,54%,54%,45%,35%,45%,65%,35%,67%,-,*,27%,13%,49%,38%,42%,41%
Math Including EOC,2019,58%,59%,56%,48%,56%,57%,71%,100%,*,*,25%,56%,59%,48%,54%,57%
,2018,58%,59%,61%,35%,63%,65%,88%,67%,-,*,40%,38%,64%,54%,60%,65%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,21%,15%,20%,35%,29%,56%,-,*,16%,20%,22%,20%,19%,15%
,2018,31%,33%,20%,15%,21%,17%,*,50%,*,0%,17%,0%,21%,18%,20%,16%
Reading and Mathematics Including EOC,2019,31%,32%,21%,15%,20%,35%,29%,56%,-,*,16%,20%,22%,20%,19%,15%
,2018,31%,33%,20%,15%,21%,17%,*,50%,*,0%,17%,0%,20%,18%,19%,16%
Reading Including EOC,2019,37%,38%,26%,22%,25%,41%,29%,56%,-,*,16%,20%,27%,24%,23%,18%
,2018,39%,41%,26%,22%,26%,31%,*,50%,*,0%,19%,0%,27%,23%,26%,21%
Math Including EOC,2019,48%,49%,49%,27%,50%,59%,64%,67%,-,*,20%,50%,51%,44%,47%,48%
,2018,45%,47%,38%,31%,40%,31%,0%,67%,*,20%,18%,20%,41%,32%,37%,36%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,31%,23%,32%,39%,20%,75%,*,0%,13%,20%,33%,27%,28%,26%
,2018,35%,37%,19%,19%,20%,14%,14%,60%,*,14%,23%,18%,21%,15%,20%,12%
Reading and Mathematics Including EOC,2019,37%,40%,31%,23%,32%,39%,20%,75%,*,0%,13%,20%,33%,27%,28%,26%
,2018,36%,38%,19%,19%,20%,14%,14%,60%,*,14%,23%,18%,21%,15%,20%,12%
Reading Including EOC,2019,49%,51%,39%,30%,40%,41%,20%,75%,*,0%,13%,20%,41%,33%,36%,36%
,2018,48%,50%,30%,33%,30%,24%,29%,60%,*,29%,28%,45%,32%,28%,30%,22%
Math Including EOC,2019,48%,50%,47%,43%,47%,46%,20%,88%,*,20%,22%,40%,50%,40%,45%,40%
