Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,YoY_State,State,YoY_Region,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021_2022,0.11,0.7,0.1,0.7,0.09,0.76,0.07,0.5,0.1,0.72,0.07,0.84,0.14,0.7,0.22,0.71
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021_2022,0.11,0.7,0.1,0.7,0.09,0.76,0.07,0.5,0.1,0.72,0.07,0.84,0.14,0.7,0.22,0.71
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.21,0.6,0.22,0.56,0.22,0.61,0.05,0.58,0.22,0.6,0.22,0.6
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.21,0.6,0.22,0.56,0.22,0.61,0.05,0.58,0.22,0.6,0.22,0.6
Harmony_Schools_West_Grade 5 Reading,Harmony_Schools_West,Grade 5 Reading,At Masters Grade Level,2021_2022,0.06,0.36,0.07,0.38,0.17,0.52,0.24,0.53,0.13,0.33,-0.14,0.51,0.27,0.49,0.22,0.48
Harmony_Schools_West_Grade 5 Reading,Harmony_Schools_West,Grade 5 Reading,At Masters Grade Level,2021_2022,0.06,0.36,0.07,0.38,0.17,0.52,0.24,0.53,0.13,0.33,-0.14,0.51,0.27,0.49,0.22,0.48
Harmony_Schools_West_Grade 3 Mathematics,Harmony_Schools_West,Grade 3 Mathematics,At Meets Grade Level or Above,2021_2022,0.12,0.43,0.13,0.44,0.21,0.52,0.26,0.52,0.23,0.36,0.26,0.57,0.25,0.46,0.22,0.5
Harmony_Schools_West_Grade 3 Mathematics,Harmony_Schools_West,Grade 3 Mathematics,At Meets Grade Level or Above,2021_2022,0.12,0.43,0.13,0.44,0.21,0.52,0.26,0.52,0.23,0.36,0.26,0.57,0.25,0.46,0.22,0.5
Harmony_Schools_Grade 7 Reading,Harmony_Schools,Grade 7 Reading,At Masters Grade Level,2021_2022,0.12,0.37,0.12,0.39,0.28,0.47,0.34,0.46,0.29,0.44,0.16,0.49,0.25,0.4,0.22,0.35
Harmony_Schools_Grade 7 Reading,Harmony_Schools,Grade 7 Reading,At Masters Grade Level,2021_2022,0.12,0.37,0.12,0.39,0.28,0.47,0.34,0.46,0.29,0.44,0.16,0.49,0.25,0.4,0.22,0.35
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Masters Grade Level,2021_2022,0.11,0.28,0.12,0.3,0.19,0.28,0.15,0.23,0.12,0.2,0.32,0.48,0.15,0.2,0.22,0.29
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Masters Grade Level,2021_2022,0.11,0.28,0.12,0.3,0.19,0.28,0.15,0.23,0.12,0.2,0.32,0.48,0.15,0.2,0.22,0.29
Harmony_Schools_Grade 5 Reading,Harmony_Schools,Grade 5 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.58,0.11,0.58,0.11,0.56,0.13,0.53,0.08,0.49,0.24,0.79,0.11,0.49,0.21,0.56
Harmony_Schools_Grade 5 Reading,Harmony_Schools,Grade 5 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.58,0.11,0.58,0.11,0.56,0.13,0.53,0.08,0.49,0.24,0.79,0.11,0.49,0.21,0.56
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Masters Grade Level,2021_2022,0.12,0.37,0.12,0.39,0.19,0.55,0.17,0.55,0.14,0.37,0.21,0.5,0.21,0.51,0.21,0.46
