Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,59%,60%,62%,50%,49%,85%,20%,87%,-,94%,29%,53%,63%,58%,49%,41%
At Masters Grade Level,2019,25%,28%,32%,12%,18%,57%,60%,67%,*,60%,5%,29%,34%,26%,16%,13%
,2018,24%,26%,26%,10%,13%,49%,0%,59%,-,56%,3%,17%,27%,23%,13%,8%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,94%,94%,92%,98%,*,96%,*,98%,68%,95%,95%,93%,92%,83%
,2018,92%,91%,94%,82%,92%,98%,100%,98%,*,100%,69%,95%,95%,90%,90%,80%
At Meets Grade Level or Above,2019,73%,75%,79%,78%,70%,92%,*,93%,*,98%,36%,77%,81%,74%,70%,47%
,2018,70%,71%,75%,60%,65%,92%,80%,87%,*,95%,37%,60%,77%,70%,62%,36%
At Masters Grade Level,2019,45%,49%,53%,43%,40%,74%,*,77%,*,67%,13%,45%,55%,47%,38%,18%
,2018,40%,43%,48%,28%,32%,73%,80%,72%,*,67%,14%,25%,49%,44%,30%,13%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,76%,65%,67%,93%,66%,94%,67%,89%,43%,73%,77%,72%,66%,64%
,2018,77%,77%,74%,63%,65%,92%,72%,93%,100%,89%,42%,69%,75%,69%,64%,61%
At Meets Grade Level or Above,2019,50%,51%,51%,35%,37%,77%,37%,82%,44%,72%,25%,46%,53%,46%,35%,33%
,2018,48%,49%,48%,32%,34%,75%,45%,80%,75%,71%,25%,41%,50%,43%,34%,29%
At Masters Grade Level,2019,24%,25%,25%,13%,14%,45%,18%,53%,33%,42%,7%,20%,26%,21%,12%,12%
,2018,22%,23%,22%,10%,12%,40%,27%,48%,25%,39%,7%,17%,23%,19%,12%,10%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,72%,63%,62%,92%,53%,92%,57%,89%,38%,69%,74%,68%,61%,58%
,2018,74%,74%,71%,63%,61%,91%,66%,91%,*,92%,37%,64%,73%,66%,60%,56%
At Meets Grade Level or Above,2019,48%,49%,49%,34%,34%,77%,26%,79%,29%,73%,23%,42%,50%,43%,32%,29%
,2018,46%,47%,47%,34%,32%,76%,49%,77%,*,74%,24%,38%,48%,43%,32%,27%
At Masters Grade Level,2019,21%,22%,21%,11%,11%,39%,5%,44%,14%,37%,6%,17%,22%,18%,10%,10%
,2018,19%,20%,20%,9%,10%,37%,20%,41%,*,38%,6%,14%,21%,16%,10%,9%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,80%,62%,73%,94%,68%,96%,67%,88%,48%,83%,81%,76%,71%,73%
,2018,81%,82%,78%,62%,71%,94%,80%,96%,*,87%,47%,76%,79%,73%,70%,70%
At Meets Grade Level or Above,2019,52%,53%,53%,31%,40%,80%,36%,89%,50%,69%,27%,53%,55%,48%,37%,40%
,2018,50%,51%,49%,27%,35%,76%,43%,86%,*,68%,27%,47%,51%,42%,35%,35%
At Masters Grade Level,2019,26%,28%,27%,11%,16%,46%,23%,62%,50%,46%,9%,25%,28%,23%,14%,17%
,2018,24%,25%,22%,9%,12%,40%,30%,55%,*,40%,8%,22%,23%,19%,13%,13%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,67%,56%,54%,89%,*,91%,*,86%,32%,56%,69%,60%,53%,53%
,2018,66%,66%,64%,52%,51%,87%,100%,89%,*,74%,30%,51%,66%,58%,50%,49%
At Meets Grade Level or Above,2019,38%,39%,40%,25%,26%,66%,*,71%,*,66%,22%,29%,42%,34%,24%,24%
,2018,41%,42%,41%,28%,25%,68%,80%,76%,*,55%,22%,30%,43%,37%,25%,24%
At Masters Grade Level,2019,14%,15%,17%,7%,7%,34%,*,42%,*,26%,5%,9%,18%,14%,6%,6%
,2018,13%,13%,16%,6%,6%,30%,40%,41%,*,28%,6%,7%,16%,14%,7%,6%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,80%,70%,72%,95%,90%,97%,*,90%,47%,76%,81%,76%,71%,69%
,2018,80%,80%,77%,67%,69%,94%,59%,95%,-,96%,47%,78%,79%,73%,68%,65%
At Meets Grade Level or Above,2019,54%,55%,55%,38%,41%,81%,60%,84%,*,74%,27%,51%,57%,49%,39%,36%
,2018,51%,52%,51%,35%,37%,75%,18%,82%,-,79%,27%,46%,52%,46%,37%,32%
At Masters Grade Level,2019,25%,27%,28%,13%,15%,52%,50%,60%,*,46%,7%,22%,30%,24%,14%,12%
,2018,23%,24%,23%,9%,12%,42%,12%,54%,-,42%,6%,19%,24%,19%,12%,9%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,82%,79%,74%,94%,100%,94%,*,93%,52%,74%,82%,79%,72%,63%
,2018,78%,79%,78%,72%,69%,92%,78%,94%,*,92%,47%,78%,79%,75%,68%,56%
At Meets Grade Level or Above,2019,55%,57%,60%,59%,48%,79%,80%,85%,*,80%,30%,55%,61%,57%,46%,31%
,2018,53%,54%,54%,42%,42%,75%,67%,76%,*,76%,26%,42%,56%,49%,40%,23%
