Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
BETA ACADEMY (101870) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,44%,44%,58%,67%,57%,*,-,*,-,-,*,-,-,58%,77%,80%
Reading and Mathematics Including EOC,2019,44%,44%,38%,30%,41%,-,-,*,-,*,0%,-,33%,41%,34%,35%
,2018,44%,44%,58%,67%,57%,*,-,*,-,-,*,-,-,58%,77%,80%
Reading Including EOC,2019,54%,54%,62%,40%,70%,-,-,*,-,*,29%,-,63%,62%,60%,60%
,2018,54%,54%,64%,67%,66%,*,-,*,-,-,20%,-,-,64%,79%,91%
Math Including EOC,2019,58%,59%,48%,60%,48%,-,-,*,-,*,14%,-,43%,51%,45%,40%
,2018,58%,59%,66%,83%,61%,*,-,*,-,-,*,-,-,66%,77%,80%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,43%,43%,39%,*,-,*,-,-,33%,-,48%,39%,35%,46%
,2018,31%,33%,43%,*,43%,*,-,*,-,-,*,-,-,43%,50%,33%
Reading and Mathematics Including EOC,2019,31%,32%,43%,43%,39%,*,-,*,-,-,33%,-,48%,39%,35%,46%
,2018,31%,33%,43%,*,43%,*,-,*,-,-,*,-,-,43%,50%,33%
Reading Including EOC,2019,37%,38%,52%,57%,48%,*,-,*,-,-,33%,-,52%,52%,48%,62%
,2018,39%,41%,57%,*,57%,*,-,*,-,-,*,-,-,57%,50%,42%
Math Including EOC,2019,48%,49%,54%,57%,50%,*,-,*,-,-,33%,-,57%,52%,48%,54%
,2018,45%,47%,54%,*,54%,80%,-,*,-,-,*,-,-,54%,55%,43%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,63%,*,68%,50%,-,*,-,-,0%,*,65%,60%,65%,64%
,2018,35%,37%,66%,*,69%,*,-,-,-,-,*,-,-,66%,83%,88%
Reading and Mathematics Including EOC,2019,37%,40%,63%,*,68%,50%,-,*,-,-,0%,*,65%,60%,65%,64%
,2018,36%,38%,66%,*,69%,*,-,-,-,-,*,-,-,66%,83%,88%
Reading Including EOC,2019,49%,51%,78%,*,80%,83%,-,*,-,-,60%,*,65%,92%,77%,64%
,2018,48%,50%,75%,*,76%,*,-,-,-,-,*,-,-,75%,89%,88%
Math Including EOC,2019,48%,50%,71%,*,75%,50%,-,*,-,-,0%,*,81%,60%,71%,82%
,2018,45%,46%,81%,*,86%,*,-,-,-,-,*,-,-,81%,89%,88%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,79%,*,81%,*,-,-,-,-,*,-,81%,75%,72%,*
,2018,28%,30%,67%,*,65%,-,-,-,-,-,-,*,-,67%,80%,75%
Reading and Mathematics Including EOC,2019,47%,48%,79%,*,81%,*,-,-,-,-,*,-,81%,75%,72%,*
,2018,41%,43%,67%,*,65%,-,-,-,-,-,-,*,-,67%,80%,75%
Reading Including EOC,2019,55%,56%,82%,*,85%,*,-,-,-,-,*,-,88%,75%,72%,*
,2018,50%,51%,67%,*,65%,-,-,-,-,-,-,*,-,67%,80%,75%
Math Including EOC,2019,62%,64%,86%,*,88%,*,-,-,-,-,*,-,94%,75%,83%,*
,2018,58%,60%,86%,*,85%,-,-,-,-,-,-,*,-,86%,100%,100%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,44%,37%,46%,44%,-,33%,-,*,9%,*,43%,46%,41%,42%
,2018,35%,36%,49%,43%,49%,50%,-,*,-,-,25%,*,47%,49%,57%,52%
Reading and Mathematics Including EOC,2019,38%,39%,44%,37%,46%,44%,-,33%,-,*,9%,*,43%,46%,41%,42%
,2018,37%,38%,49%,43%,49%,50%,-,*,-,-,25%,*,47%,49%,57%,52%
Reading Including EOC,2019,47%,48%,65%,57%,67%,63%,-,33%,-,*,28%,*,64%,66%,64%,65%
,2018,47%,48%,61%,52%,60%,71%,-,*,-,-,25%,*,59%,61%,64%,62%
Math Including EOC,2019,52%,53%,53%,57%,53%,50%,-,44%,-,*,13%,*,54%,51%,49%,47%
,2018,50%,52%,62%,61%,62%,60%,-,67%,-,*,36%,*,63%,61%,66%,61%
