Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
KLEIN ISD (101915) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,31%,33%,35%,18%,26%,47%,50%,67%,*,38%,16%,29%,39%,28%,22%,26%
Reading and Mathematics Including EOC,2019,31%,32%,36%,22%,25%,49%,50%,57%,20%,49%,16%,35%,39%,28%,23%,22%
,2018,31%,33%,35%,18%,26%,47%,50%,67%,*,38%,16%,29%,39%,28%,22%,26%
Reading Including EOC,2019,37%,38%,43%,30%,33%,58%,50%,61%,40%,53%,19%,42%,46%,36%,29%,26%
,2018,39%,41%,47%,31%,36%,60%,75%,71%,*,53%,19%,33%,50%,40%,33%,33%
Math Including EOC,2019,48%,49%,52%,38%,42%,63%,58%,80%,40%,63%,24%,54%,56%,43%,39%,42%
,2018,45%,47%,46%,25%,38%,57%,44%,81%,*,49%,16%,50%,50%,38%,33%,40%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,37%,25%,29%,51%,22%,65%,*,38%,14%,24%,41%,28%,25%,24%
,2018,35%,37%,39%,25%,30%,51%,33%,61%,*,46%,23%,37%,43%,31%,26%,25%
Reading and Mathematics Including EOC,2019,37%,40%,41%,26%,31%,54%,22%,72%,*,44%,15%,26%,46%,29%,27%,25%
,2018,36%,38%,42%,27%,32%,54%,31%,66%,*,50%,23%,38%,46%,33%,28%,27%
Reading Including EOC,2019,49%,51%,55%,40%,46%,69%,33%,76%,*,63%,20%,38%,60%,44%,41%,38%
,2018,48%,50%,55%,43%,46%,66%,50%,72%,*,60%,28%,46%,59%,46%,41%,37%
Math Including EOC,2019,48%,50%,49%,31%,39%,63%,44%,83%,*,48%,19%,34%,54%,37%,35%,35%
,2018,45%,46%,50%,30%,39%,63%,38%,78%,*,61%,22%,53%,54%,40%,35%,36%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,38%,27%,30%,50%,54%,65%,*,51%,18%,45%,42%,29%,27%,22%
,2018,28%,30%,31%,19%,26%,41%,11%,55%,*,34%,22%,21%,33%,26%,22%,18%
Reading and Mathematics Including EOC,2019,47%,48%,52%,37%,43%,63%,65%,79%,*,63%,19%,56%,56%,41%,37%,33%
,2018,41%,43%,46%,27%,38%,58%,29%,68%,*,50%,24%,37%,49%,38%,31%,26%
Reading Including EOC,2019,55%,56%,60%,44%,50%,72%,65%,81%,*,73%,24%,58%,64%,48%,45%,39%
,2018,50%,51%,54%,39%,47%,67%,36%,69%,*,63%,27%,58%,58%,46%,40%,33%
Math Including EOC,2019,62%,64%,67%,54%,60%,75%,76%,91%,*,74%,29%,86%,70%,58%,56%,54%
,2018,58%,60%,60%,40%,54%,72%,56%,87%,*,63%,28%,46%,64%,52%,47%,46%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
