Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
DEER PARK ISD (101908) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading and Mathematics,2019,44%,44%,47%,21%,40%,58%,-,86%,-,57%,20%,28%,49%,41%,37%,33%
,2018,44%,44%,46%,33%,42%,53%,-,57%,-,52%,21%,42%,48%,42%,37%,37%
Reading and Mathematics Including EOC,2019,44%,44%,47%,21%,40%,58%,-,86%,-,57%,20%,28%,49%,41%,37%,33%
,2018,44%,44%,46%,33%,42%,53%,-,57%,-,52%,21%,42%,48%,42%,37%,37%
Reading Including EOC,2019,54%,54%,57%,38%,50%,68%,-,86%,-,67%,28%,44%,59%,51%,47%,44%
,2018,54%,54%,54%,38%,48%,63%,-,57%,-,67%,22%,42%,56%,49%,44%,41%
Math Including EOC,2019,58%,59%,64%,42%,56%,77%,-,100%,-,81%,35%,47%,66%,57%,54%,51%
,2018,58%,59%,69%,41%,66%,73%,-,100%,-,71%,38%,88%,70%,65%,61%,67%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,34%,16%,29%,40%,-,63%,-,50%,12%,27%,35%,30%,23%,23%
,2018,31%,33%,35%,29%,29%,41%,*,82%,-,29%,15%,29%,38%,25%,26%,31%
Reading and Mathematics Including EOC,2019,31%,32%,34%,16%,29%,40%,-,63%,-,50%,12%,27%,35%,30%,23%,23%
,2018,31%,33%,35%,29%,29%,41%,*,82%,-,29%,15%,29%,38%,25%,26%,31%
Reading Including EOC,2019,37%,38%,38%,32%,32%,45%,-,63%,-,50%,13%,27%,38%,36%,26%,26%
,2018,39%,41%,40%,29%,34%,48%,*,82%,-,33%,16%,29%,44%,31%,30%,33%
Math Including EOC,2019,48%,49%,57%,28%,52%,64%,-,88%,-,71%,24%,55%,59%,52%,47%,51%
,2018,45%,47%,55%,45%,49%,64%,*,91%,-,62%,26%,81%,60%,43%,47%,53%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,39%,25%,33%,48%,*,55%,-,53%,11%,45%,41%,31%,32%,29%
,2018,35%,37%,40%,13%,36%,48%,*,60%,*,60%,23%,40%,43%,32%,30%,35%
Reading and Mathematics Including EOC,2019,37%,40%,42%,25%,35%,52%,*,57%,-,55%,12%,45%,45%,32%,33%,30%
,2018,36%,38%,43%,16%,38%,53%,*,78%,*,63%,25%,45%,46%,34%,31%,37%
Reading Including EOC,2019,49%,51%,49%,36%,42%,60%,*,64%,-,60%,15%,55%,51%,42%,40%,34%
,2018,48%,50%,52%,24%,47%,63%,*,78%,*,75%,30%,55%,55%,43%,40%,44%
Math Including EOC,2019,48%,50%,61%,39%,55%,70%,*,79%,-,65%,25%,73%,65%,49%,50%,54%
,2018,45%,46%,57%,31%,53%,65%,*,100%,*,61%,27%,46%,60%,48%,46%,49%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,45%,35%,39%,58%,-,100%,*,45%,21%,33%,46%,42%,37%,30%
,2018,28%,30%,42%,19%,36%,52%,*,*,-,31%,19%,43%,44%,33%,31%,30%
Reading and Mathematics Including EOC,2019,47%,48%,56%,41%,50%,69%,*,100%,*,47%,22%,38%,58%,50%,47%,44%
,2018,41%,43%,52%,24%,47%,60%,*,90%,*,46%,20%,47%,55%,41%,38%,38%
Reading Including EOC,2019,55%,56%,61%,48%,54%,73%,*,100%,*,47%,26%,50%,62%,56%,53%,48%
,2018,50%,51%,56%,35%,51%,63%,*,90%,*,46%,24%,53%,59%,46%,42%,39%
Math Including EOC,2019,62%,64%,76%,48%,73%,82%,*,100%,*,89%,36%,56%,78%,68%,68%,67%
,2018,58%,60%,75%,42%,71%,82%,*,100%,*,71%,32%,83%,77%,67%,66%,69%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,39%,24%,33%,49%,*,70%,*,43%,17%,32%,41%,33%,29%,26%
,2018,35%,36%,40%,22%,35%,49%,80%,76%,*,38%,22%,37%,42%,33%,30%,31%
Reading and Mathematics Including EOC,2019,38%,39%,42%,25%,36%,52%,40%,73%,*,44%,17%,33%,44%,35%,32%,29%
,2018,37%,38%,42%,23%,37%,51%,83%,81%,*,41%,23%,38%,45%,34%,32%,32%
