Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,55%,56%,59%,42%,53%,71%,44%,79%,44%,74%,27%,55%,62%,51%,42%,37%
At Masters Grade Level,2021,21%,22%,24%,15%,19%,32%,10%,36%,31%,38%,6%,11%,25%,19%,13%,12%
,2019,28%,30%,30%,16%,22%,42%,11%,49%,25%,49%,8%,22%,32%,22%,16%,12%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,60%,53%,58%,71%,75%,76%,80%,66%,38%,56%,61%,58%,52%,53%
,2019,88%,88%,87%,81%,86%,92%,88%,97%,92%,84%,53%,91%,88%,84%,83%,81%
At Meets Grade Level or Above,2021,36%,37%,31%,25%,28%,39%,50%,33%,40%,48%,25%,23%,31%,31%,25%,24%
,2019,57%,58%,46%,36%,43%,58%,63%,68%,58%,50%,25%,45%,47%,43%,40%,39%
At Masters Grade Level,2021,11%,11%,6%,4%,5%,9%,0%,15%,0%,7%,7%,3%,6%,6%,4%,2%
,2019,17%,18%,9%,5%,7%,12%,25%,29%,17%,16%,8%,9%,9%,8%,7%,7%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,75%,59%,70%,89%,50%,91%,69%,80%,44%,66%,79%,64%,63%,59%
,2019,81%,81%,86%,75%,81%,94%,100%,97%,81%,89%,55%,92%,89%,78%,76%,70%
At Meets Grade Level or Above,2021,43%,45%,50%,30%,43%,67%,40%,72%,62%,59%,27%,42%,54%,39%,35%,32%
,2019,51%,52%,57%,35%,47%,75%,63%,82%,38%,66%,26%,53%,62%,44%,39%,33%
At Masters Grade Level,2021,24%,25%,28%,13%,20%,44%,30%,45%,23%,35%,10%,28%,31%,19%,15%,14%
,2019,25%,27%,30%,12%,21%,46%,25%,55%,6%,31%,12%,29%,33%,20%,14%,11%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,67%,48%,60%,84%,64%,83%,69%,75%,39%,60%,71%,55%,51%,45%
,2019,69%,70%,73%,62%,64%,86%,63%,94%,75%,75%,48%,75%,77%,65%,58%,49%
At Meets Grade Level or Above,2021,28%,29%,36%,20%,29%,53%,18%,53%,23%,46%,27%,38%,39%,28%,21%,18%
,2019,37%,38%,41%,22%,31%,58%,38%,74%,31%,52%,25%,45%,44%,32%,24%,19%
At Masters Grade Level,2021,14%,15%,18%,7%,12%,30%,9%,31%,0%,30%,9%,19%,20%,12%,8%,6%
,2019,21%,23%,24%,11%,15%,38%,25%,46%,13%,34%,10%,33%,27%,16%,12%,9%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,70%,60%,64%,84%,87%,91%,75%,78%,32%,49%,73%,62%,57%,46%
,2019,68%,67%,74%,63%,70%,87%,93%,91%,77%,79%,29%,60%,77%,67%,63%,51%
At Meets Grade Level or Above,2021,50%,51%,52%,38%,44%,71%,60%,80%,69%,55%,15%,34%,55%,42%,37%,23%
,2019,50%,50%,62%,47%,55%,80%,79%,85%,64%,65%,18%,46%,65%,53%,47%,31%
At Masters Grade Level,2021,12%,14%,12%,5%,8%,21%,13%,30%,25%,15%,4%,2%,13%,7%,5%,2%
,2019,11%,11%,1%,1%,1%,1%,0%,0%,0%,0%,2%,0%,1%,1%,1%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,76%,63%,73%,87%,64%,93%,77%,76%,34%,66%,78%,68%,64%,48%
,2019,68%,69%,73%,61%,68%,86%,60%,89%,82%,75%,31%,62%,77%,62%,62%,42%
At Meets Grade Level or Above,2021,57%,58%,63%,46%,58%,78%,45%,85%,54%,56%,23%,47%,66%,52%,46%,28%
,2019,49%,50%,54%,42%,46%,72%,40%,79%,59%,59%,16%,38%,58%,43%,40%,17%
At Masters Grade Level,2021,11%,12%,11%,4%,7%,19%,18%,32%,0%,12%,2%,8%,12%,6%,4%,2%
,2019,8%,9%,10%,3%,6%,17%,7%,25%,6%,13%,3%,8%,12%,5%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,75%,61%,72%,88%,79%,89%,69%,81%,46%,73%,78%,67%,62%,59%
,2019,85%,84%,85%,78%,84%,92%,88%,95%,75%,82%,50%,81%,87%,80%,77%,77%
At Meets Grade Level or Above,2021,41%,44%,43%,24%,37%,60%,50%,65%,25%,51%,17%,39%,46%,34%,26%,28%
,2019,61%,61%,62%,46%,58%,76%,75%,87%,55%,60%,18%,61%,66%,54%,47%,44%
At Masters Grade Level,2021,23%,26%,24%,11%,18%,39%,29%,43%,13%,32%,6%,25%,27%,18%,11%,12%
,2019,37%,38%,10%,8%,11%,11%,13%,12%,15%,13%,3%,2%,11%,10%,9%,9%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,87%,79%,84%,96%,94%,96%,87%,87%,60%,89%,89%,81%,79%,71%
,2019,88%,88%,92%,87%,91%,96%,100%,97%,84%,95%,62%,96%,94%,88%,88%,81%
At Meets Grade Level or Above,2021,55%,57%,64%,49%,57%,81%,63%,88%,73%,72%,31%,66%,69%,52%,49%,40%
,2019,62%,63%,74%,62%,70%,86%,91%,88%,58%,69%,24%,65%,77%,65%,62%,46%
At Masters Grade Level,2021,22%,26%,29%,13%,21%,45%,31%,58%,33%,37%,6%,38%,32%,19%,15%,11%
,2019,25%,28%,35%,18%,27%,51%,64%,57%,42%,42%,7%,24%,38%,27%,21%,12%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,93%,89%,92%,97%,90%,96%,88%,97%,72%,93%,94%,90%,88%,79%
,2019,93%,93%,94%,89%,94%,98%,100%,97%,86%,98%,67%,90%,96%,91%,91%,78%
At Meets Grade Level or Above,2021,69%,70%,78%,62%,75%,90%,80%,89%,71%,78%,47%,75%,80%,68%,65%,45%
,2019,73%,75%,80%,67%,76%,92%,77%,90%,57%,86%,40%,68%,83%,71%,69%,39%
At Masters Grade Level,2021,43%,45%,52%,31%,46%,72%,80%,69%,47%,56%,22%,46%,55%,42%,34%,20%
,2019,45%,49%,55%,35%,48%,74%,46%,69%,14%,53%,20%,46%,59%,42%,38%,14%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,95%,89%,94%,97%,*,98%,*,100%,*,*,95%,90%,93%,73%
At Meets Grade Level or Above,2021,69%,75%,73%,52%,61%,84%,*,95%,*,86%,*,*,74%,60%,58%,13%
At Masters Grade Level,2021,14%,18%,11%,4%,4%,14%,*,32%,*,24%,*,*,11%,4%,3%,0%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,71%,58%,66%,84%,81%,88%,67%,76%,39%,65%,75%,62%,58%,56%
,2019,78%,78%,79%,68%,76%,89%,83%,92%,75%,82%,45%,77%,82%,73%,69%,68%
At Meets Grade Level or Above,2021,41%,43%,45%,30%,37%,60%,48%,66%,40%,50%,21%,38%,48%,35%,29%,26%
,2019,50%,51%,52%,37%,45%,67%,50%,75%,44%,59%,24%,45%,56%,43%,37%,34%
At Masters Grade Level,2021,18%,20%,20%,10%,14%,31%,23%,38%,17%,25%,7%,18%,22%,14%,10%,9%
,2019,24%,25%,23%,12%,17%,34%,19%,42%,16%,29%,8%,20%,25%,16%,12%,12%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,72%,59%,68%,84%,81%,88%,65%,78%,36%,64%,75%,64%,59%,57%
,2019,75%,75%,78%,66%,74%,88%,80%,91%,76%,83%,40%,75%,80%,71%,67%,64%
