Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ARISTOI CLASSICAL ACADEMY (101803) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,44%,44%,47%,33%,36%,59%,-,*,-,*,33%,*,45%,50%,27%,43%
Reading Including EOC,2019,54%,54%,60%,75%,40%,66%,-,*,-,*,38%,*,64%,55%,22%,20%
,2018,54%,54%,72%,56%,73%,80%,-,*,-,*,50%,*,71%,73%,64%,71%
Math Including EOC,2019,58%,59%,38%,38%,20%,42%,-,*,-,*,13%,*,40%,35%,17%,40%
,2018,58%,59%,55%,44%,45%,66%,-,*,-,*,50%,*,55%,55%,36%,43%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,45%,56%,38%,51%,-,*,-,*,*,*,45%,45%,38%,20%
,2018,31%,33%,29%,20%,29%,31%,*,*,-,*,0%,*,34%,26%,38%,0%
Reading and Mathematics Including EOC,2019,31%,32%,45%,56%,38%,51%,-,*,-,*,*,*,45%,45%,38%,20%
,2018,31%,33%,29%,20%,29%,31%,*,*,-,*,0%,*,34%,26%,38%,0%
Reading Including EOC,2019,37%,38%,52%,67%,42%,60%,-,*,-,*,*,*,47%,57%,48%,20%
,2018,39%,41%,42%,20%,39%,47%,*,*,-,*,0%,*,47%,39%,43%,25%
Math Including EOC,2019,48%,49%,66%,78%,62%,67%,-,*,-,*,*,*,74%,59%,48%,40%
,2018,45%,47%,47%,17%,48%,49%,*,*,-,*,0%,*,50%,45%,52%,11%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,31%,0%,29%,40%,*,*,-,*,15%,*,30%,31%,12%,0%
,2018,35%,37%,33%,20%,33%,35%,*,*,*,*,*,*,25%,37%,24%,22%
Reading and Mathematics Including EOC,2019,37%,40%,32%,0%,31%,40%,*,*,-,*,15%,*,32%,31%,12%,0%
,2018,36%,38%,33%,20%,33%,35%,*,*,*,*,*,*,25%,37%,24%,22%
Reading Including EOC,2019,49%,51%,55%,20%,56%,60%,*,*,-,*,15%,*,58%,53%,41%,43%
,2018,48%,50%,57%,100%,52%,56%,*,*,*,*,*,*,46%,62%,41%,33%
Math Including EOC,2019,48%,50%,39%,0%,38%,45%,*,*,-,*,15%,*,39%,39%,18%,0%
,2018,45%,46%,42%,20%,41%,47%,*,*,*,*,*,*,38%,43%,24%,22%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,17%,*,14%,20%,-,*,-,*,*,-,27%,14%,20%,17%
,2018,28%,30%,15%,*,8%,17%,-,*,-,*,29%,-,11%,17%,40%,*
Reading and Mathematics Including EOC,2019,47%,48%,34%,*,26%,38%,-,*,-,*,*,-,48%,27%,25%,17%
,2018,41%,43%,24%,*,17%,28%,-,*,-,*,29%,-,16%,31%,33%,*
Reading Including EOC,2019,55%,56%,66%,*,59%,74%,-,*,-,*,*,-,76%,60%,50%,50%
,2018,50%,51%,51%,*,28%,60%,-,*,-,*,29%,-,36%,63%,71%,*
Math Including EOC,2019,62%,64%,46%,*,41%,50%,-,*,-,*,*,-,60%,38%,33%,17%
,2018,58%,60%,25%,*,16%,31%,-,*,-,*,38%,-,16%,33%,33%,*
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,34%,37%,27%,39%,*,33%,-,31%,17%,33%,38%,30%,24%,14%
,2018,35%,36%,34%,33%,28%,39%,*,25%,*,16%,21%,29%,36%,32%,30%,20%
Reading and Mathematics Including EOC,2019,38%,39%,36%,40%,29%,40%,*,33%,-,36%,17%,33%,40%,32%,24%,14%
,2018,37%,38%,34%,33%,28%,39%,*,23%,*,20%,21%,29%,36%,33%,30%,20%
Reading Including EOC,2019,47%,48%,57%,62%,51%,62%,*,50%,-,43%,28%,56%,60%,54%,42%,38%
,2018,47%,48%,54%,67%,46%,59%,*,46%,*,35%,29%,29%,52%,56%,48%,40%
Math Including EOC,2019,52%,53%,47%,51%,39%,49%,*,58%,-,57%,17%,33%,51%,42%,35%,28%
,2018,50%,52%,43%,35%,35%,50%,*,31%,*,40%,25%,29%,44%,42%,39%,21%
