Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2019,51%,52%,57%,35%,47%,75%,63%,82%,38%,66%,26%,53%,62%,44%,39%,33%
,2018,52%,53%,60%,40%,51%,77%,80%,86%,69%,55%,26%,65%,64%,49%,43%,36%
At Masters Grade Level,2019,25%,27%,30%,12%,21%,46%,25%,55%,6%,31%,12%,29%,33%,20%,14%,11%
,2018,28%,29%,34%,14%,24%,52%,60%,64%,38%,36%,8%,43%,39%,22%,20%,16%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,73%,62%,64%,86%,63%,94%,75%,75%,48%,75%,77%,65%,58%,49%
,2018,65%,66%,73%,59%,66%,86%,90%,89%,69%,74%,39%,79%,76%,65%,60%,48%
At Meets Grade Level or Above,2019,37%,38%,41%,22%,31%,58%,38%,74%,31%,52%,25%,45%,44%,32%,24%,19%
,2018,36%,37%,44%,24%,34%,61%,90%,69%,54%,40%,22%,56%,47%,36%,28%,20%
At Masters Grade Level,2019,21%,23%,24%,11%,15%,38%,25%,46%,13%,34%,10%,33%,27%,16%,12%,9%
,2018,21%,22%,28%,13%,18%,43%,60%,56%,38%,29%,12%,40%,30%,22%,16%,8%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,74%,63%,70%,87%,93%,91%,77%,79%,29%,60%,77%,67%,63%,51%
,2018,65%,65%,72%,57%,68%,86%,73%,92%,76%,72%,33%,55%,74%,65%,61%,42%
At Meets Grade Level or Above,2019,50%,50%,62%,47%,55%,80%,79%,85%,64%,65%,18%,46%,65%,53%,47%,31%
,2018,44%,45%,56%,37%,48%,75%,67%,88%,59%,64%,21%,36%,59%,48%,42%,24%
At Masters Grade Level,2019,11%,11%,1%,1%,1%,1%,0%,0%,0%,0%,2%,0%,1%,1%,1%,0%
,2018,7%,8%,5%,1%,2%,10%,0%,23%,12%,7%,2%,4%,6%,3%,2%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,73%,61%,68%,86%,60%,89%,82%,75%,31%,62%,77%,62%,62%,42%
,2018,67%,67%,73%,62%,68%,85%,61%,90%,56%,81%,32%,57%,76%,64%,61%,37%
At Meets Grade Level or Above,2019,49%,50%,54%,42%,46%,72%,40%,79%,59%,59%,16%,38%,58%,43%,40%,17%
,2018,48%,48%,55%,39%,49%,73%,56%,77%,19%,64%,21%,30%,59%,45%,41%,19%
At Masters Grade Level,2019,8%,9%,10%,3%,6%,17%,7%,25%,6%,13%,3%,8%,12%,5%,4%,1%
,2018,8%,9%,10%,5%,7%,18%,6%,26%,0%,10%,5%,0%,12%,7%,6%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,85%,78%,84%,92%,88%,95%,75%,82%,50%,81%,87%,80%,77%,77%
,2018,83%,83%,87%,77%,86%,92%,93%,95%,85%,86%,51%,85%,89%,81%,80%,79%
At Meets Grade Level or Above,2019,61%,61%,62%,46%,58%,76%,75%,87%,55%,60%,18%,61%,66%,54%,47%,44%
,2018,55%,55%,59%,43%,54%,71%,67%,85%,55%,68%,20%,61%,63%,49%,46%,41%
At Masters Grade Level,2019,37%,38%,10%,8%,11%,11%,13%,12%,15%,13%,3%,2%,11%,10%,9%,9%
,2018,32%,34%,30%,17%,23%,43%,33%,57%,25%,26%,6%,39%,35%,18%,20%,16%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,92%,87%,91%,96%,100%,97%,84%,95%,62%,96%,94%,88%,88%,81%
,2018,87%,86%,92%,86%,90%,96%,100%,98%,94%,93%,61%,87%,93%,88%,88%,78%
At Meets Grade Level or Above,2019,62%,63%,74%,62%,70%,86%,91%,88%,58%,69%,24%,65%,77%,65%,62%,46%
