Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
LA PORTE ISD (101916) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,83%,83%,82%,68%,83%,84%,44%,100%,*,100%,46%,*,83%,80%,84%,80%
At Meets Grade Level or Above,2019,61%,61%,43%,41%,44%,43%,40%,43%,*,*,12%,*,48%,28%,38%,49%
,2018,55%,55%,51%,41%,52%,51%,22%,86%,*,60%,18%,*,53%,42%,48%,47%
At Masters Grade Level,2019,37%,38%,19%,16%,20%,18%,0%,29%,*,*,7%,*,21%,12%,17%,19%
,2018,32%,34%,29%,18%,26%,33%,11%,86%,*,40%,7%,*,31%,20%,22%,31%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,85%,82%,84%,88%,60%,90%,*,86%,52%,*,87%,77%,83%,78%
,2018,87%,86%,85%,69%,86%,87%,43%,100%,*,88%,58%,*,86%,80%,85%,84%
At Meets Grade Level or Above,2019,62%,63%,57%,44%,55%,60%,60%,90%,*,57%,20%,*,62%,41%,52%,42%
,2018,59%,60%,57%,39%,53%,65%,14%,100%,*,75%,22%,*,60%,46%,54%,44%
At Masters Grade Level,2019,25%,28%,17%,14%,14%,19%,0%,30%,*,29%,7%,*,19%,10%,13%,11%
,2018,24%,26%,21%,18%,17%,25%,0%,50%,*,38%,3%,*,22%,16%,15%,12%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,93%,80%,93%,95%,*,100%,-,100%,74%,67%,94%,87%,92%,89%
,2018,92%,91%,94%,82%,95%,96%,*,100%,-,100%,72%,*,95%,88%,94%,86%
At Meets Grade Level or Above,2019,73%,75%,76%,60%,74%,81%,*,100%,-,60%,41%,50%,78%,70%,74%,39%
,2018,70%,71%,72%,49%,74%,76%,*,86%,-,57%,33%,*,75%,58%,74%,52%
At Masters Grade Level,2019,45%,49%,42%,20%,38%,50%,*,30%,-,40%,17%,17%,42%,41%,39%,11%
,2018,40%,43%,38%,21%,38%,42%,*,71%,-,14%,7%,*,40%,28%,34%,17%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,80%,71%,81%,82%,79%,95%,60%,74%,51%,77%,82%,75%,78%,74%
,2018,77%,77%,81%,70%,80%,84%,75%,94%,72%,82%,51%,81%,82%,76%,78%,76%
At Meets Grade Level or Above,2019,50%,51%,50%,36%,49%,53%,54%,76%,20%,42%,25%,44%,52%,43%,44%,37%
,2018,48%,49%,51%,37%,50%,56%,54%,77%,39%,54%,25%,48%,54%,44%,45%,42%
At Masters Grade Level,2019,24%,25%,21%,13%,20%,23%,24%,37%,0%,17%,10%,17%,22%,18%,17%,15%
,2018,22%,23%,22%,13%,21%,25%,16%,43%,6%,21%,9%,18%,23%,18%,17%,15%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,78%,69%,78%,80%,74%,94%,63%,73%,47%,75%,80%,71%,76%,71%
,2018,74%,74%,77%,63%,77%,80%,75%,94%,71%,76%,45%,80%,79%,72%,75%,73%
At Meets Grade Level or Above,2019,48%,49%,49%,36%,48%,51%,56%,75%,25%,49%,22%,42%,51%,42%,44%,37%
,2018,46%,47%,48%,34%,46%,52%,56%,78%,29%,52%,23%,43%,50%,42%,42%,36%
At Masters Grade Level,2019,21%,22%,20%,13%,19%,21%,26%,28%,0%,18%,9%,12%,20%,18%,17%,15%
,2018,19%,20%,19%,12%,18%,21%,17%,36%,0%,19%,7%,14%,20%,17%,16%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,85%,75%,86%,85%,81%,100%,67%,79%,55%,85%,86%,81%,82%,82%
,2018,81%,82%,86%,76%,86%,89%,74%,97%,83%,81%,60%,92%,88%,82%,85%,84%
At Meets Grade Level or Above,2019,52%,53%,52%,38%,51%,55%,54%,72%,17%,33%,28%,55%,54%,45%,46%,44%
,2018,50%,51%,56%,43%,54%,60%,55%,86%,50%,52%,28%,58%,58%,50%,50%,51%
At Masters Grade Level,2019,26%,28%,24%,16%,24%,26%,23%,41%,0%,12%,12%,28%,25%,21%,20%,19%
,2018,24%,25%,26%,15%,25%,30%,26%,56%,0%,23%,13%,24%,28%,22%,20%,21%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,73%,59%,72%,78%,100%,100%,*,50%,39%,76%,75%,69%,69%,58%
,2018,66%,66%,71%,67%,69%,73%,100%,88%,*,82%,36%,56%,72%,67%,68%,62%
At Meets Grade Level or Above,2019,38%,39%,39%,22%,40%,41%,57%,83%,*,30%,19%,12%,40%,37%,32%,26%
,2018,41%,42%,42%,32%,40%,46%,83%,50%,*,45%,21%,33%,44%,35%,36%,38%
At Masters Grade Level,2019,14%,15%,11%,6%,12%,11%,29%,75%,*,0%,12%,0%,12%,10%,7%,4%
,2018,13%,13%,10%,6%,9%,13%,0%,0%,*,0%,12%,11%,11%,9%,8%,11%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,83%,77%,82%,86%,82%,94%,*,81%,55%,76%,85%,77%,80%,73%
,2018,80%,80%,85%,75%,83%,89%,69%,95%,*,89%,53%,74%,86%,81%,82%,78%
At Meets Grade Level or Above,2019,54%,55%,53%,37%,51%,59%,55%,76%,*,50%,26%,62%,56%,43%,46%,36%
,2018,51%,52%,55%,38%,51%,61%,44%,81%,*,67%,26%,47%,57%,45%,47%,44%
At Masters Grade Level,2019,25%,27%,21%,12%,19%,26%,18%,35%,*,31%,11%,19%,22%,17%,17%,15%
,2018,23%,24%,24%,14%,20%,29%,6%,52%,*,33%,6%,16%,25%,20%,18%,13%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,78%,64%,79%,81%,67%,79%,*,70%,55%,45%,80%,73%,73%,68%
,2018,78%,79%,82%,70%,80%,85%,75%,88%,*,92%,52%,88%,83%,74%,75%,67%
At Meets Grade Level or Above,2019,55%,57%,50%,36%,47%,56%,33%,79%,*,40%,30%,27%,51%,44%,43%,24%
,2018,53%,54%,54%,37%,54%,57%,38%,65%,*,58%,25%,50%,57%,41%,47%,36%
At Masters Grade Level,2019,33%,36%,26%,10%,23%,32%,17%,29%,*,30%,11%,9%,26%,23%,22%,8%
,2018,31%,32%,29%,15%,29%,32%,13%,47%,*,25%,8%,25%,31%,22%,22%,17%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,40%,28%,38%,42%,*,64%,*,45%,26%,30%,42%,32%,32%,26%
,2018,34%,34%,39%,16%,38%,44%,*,80%,-,*,25%,31%,41%,33%,30%,23%
Reading and Mathematics Including EOC,2019,35%,36%,40%,28%,38%,42%,*,64%,*,45%,26%,30%,42%,32%,32%,26%
,2018,34%,34%,39%,16%,38%,44%,*,80%,-,*,25%,31%,41%,33%,30%,23%
Reading Including EOC,2019,45%,45%,53%,34%,52%,56%,*,73%,*,64%,33%,40%,56%,43%,46%,42%
,2018,43%,44%,49%,24%,47%,56%,*,80%,-,*,28%,43%,50%,46%,40%,27%
Math Including EOC,2019,49%,48%,50%,34%,50%,54%,*,64%,*,45%,33%,40%,52%,44%,43%,38%
,2018,47%,48%,56%,38%,56%,60%,*,80%,-,*,32%,62%,58%,52%,48%,54%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,39%,29%,41%,40%,*,*,-,17%,21%,31%,41%,35%,31%,28%
,2018,36%,37%,46%,28%,45%,50%,*,*,-,50%,31%,55%,47%,45%,37%,39%
Reading and Mathematics Including EOC,2019,35%,36%,39%,29%,41%,40%,*,*,-,17%,21%,31%,41%,35%,31%,28%
,2018,36%,37%,46%,28%,45%,50%,*,*,-,50%,31%,55%,47%,45%,37%,39%
Reading Including EOC,2019,44%,45%,51%,39%,50%,55%,*,*,-,33%,25%,56%,54%,45%,43%,36%
,2018,46%,46%,54%,38%,52%,57%,*,*,-,83%,37%,64%,54%,53%,45%,43%
Math Including EOC,2019,48%,49%,54%,41%,56%,55%,*,*,-,17%,33%,44%,57%,49%,49%,49%
,2018,49%,51%,68%,55%,64%,74%,*,*,-,50%,38%,82%,68%,66%,62%,62%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,49%,29%,49%,53%,*,*,-,40%,29%,58%,51%,46%,40%,39%
,2018,44%,44%,57%,56%,58%,55%,60%,100%,-,40%,32%,54%,59%,51%,50%,51%
Reading and Mathematics Including EOC,2019,44%,44%,49%,29%,49%,53%,*,*,-,40%,29%,58%,51%,46%,40%,39%
,2018,44%,44%,57%,56%,58%,55%,60%,100%,-,40%,32%,54%,59%,51%,50%,51%
Reading Including EOC,2019,54%,54%,57%,34%,56%,61%,*,*,-,60%,34%,58%,58%,53%,51%,49%
,2018,54%,54%,64%,62%,64%,63%,80%,100%,-,40%,44%,62%,64%,63%,57%,58%
Math Including EOC,2019,58%,59%,74%,60%,73%,77%,*,*,-,60%,55%,83%,76%,65%,67%,67%
,2018,58%,59%,77%,80%,75%,78%,80%,100%,-,100%,47%,77%,80%,69%,71%,74%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,35%,26%,37%,36%,*,20%,-,14%,17%,27%,35%,35%,31%,24%
,2018,31%,33%,32%,19%,30%,35%,*,86%,*,*,28%,17%,34%,25%,23%,19%
Reading and Mathematics Including EOC,2019,31%,32%,35%,26%,37%,36%,*,20%,-,14%,17%,27%,35%,35%,31%,24%
,2018,31%,33%,32%,19%,30%,35%,*,86%,*,*,28%,17%,34%,25%,23%,19%
Reading Including EOC,2019,37%,38%,41%,33%,42%,42%,*,40%,-,14%,21%,33%,41%,41%,35%,26%
,2018,39%,41%,39%,21%,39%,42%,*,86%,*,*,30%,33%,42%,31%,31%,26%
Math Including EOC,2019,48%,49%,57%,50%,55%,61%,*,60%,-,29%,23%,67%,59%,50%,51%,48%
,2018,45%,47%,53%,32%,49%,60%,60%,100%,*,*,34%,33%,56%,42%,44%,40%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,33%,13%,29%,40%,60%,100%,*,*,22%,44%,34%,31%,26%,14%
,2018,35%,37%,26%,20%,24%,30%,*,50%,*,0%,17%,14%,28%,21%,21%,24%
Reading and Mathematics Including EOC,2019,37%,40%,33%,13%,29%,40%,60%,100%,*,*,22%,44%,34%,31%,26%,14%
,2018,36%,38%,26%,20%,24%,30%,*,50%,*,0%,17%,14%,28%,21%,21%,24%
Reading Including EOC,2019,49%,51%,48%,27%,46%,52%,80%,100%,*,*,27%,56%,48%,46%,42%,31%
,2018,48%,50%,42%,40%,39%,47%,*,50%,*,40%,20%,14%,44%,38%,39%,37%
Math Including EOC,2019,48%,50%,42%,18%,36%,53%,60%,100%,*,*,24%,67%,44%,36%,33%,20%
,2018,45%,46%,33%,23%,31%,38%,*,83%,*,0%,16%,29%,36%,24%,28%,30%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,23%,21%,20%,28%,*,*,*,20%,17%,0%,22%,27%,23%,18%
,2018,28%,30%,27%,20%,26%,31%,*,*,*,*,13%,*,28%,25%,23%,23%
Reading and Mathematics Including EOC,2019,47%,48%,35%,27%,35%,37%,*,*,*,20%,17%,0%,36%,30%,33%,36%
,2018,41%,43%,42%,26%,40%,46%,*,56%,*,60%,13%,*,44%,35%,32%,34%
Reading Including EOC,2019,55%,56%,47%,43%,46%,49%,*,*,*,60%,22%,0%,48%,41%,43%,44%
,2018,50%,51%,49%,34%,45%,54%,*,67%,*,60%,20%,*,51%,40%,39%,39%
Math Including EOC,2019,62%,64%,49%,40%,50%,51%,*,*,*,40%,23%,0%,51%,40%,46%,44%
,2018,58%,60%,65%,48%,65%,68%,*,78%,*,100%,21%,*,67%,59%,59%,67%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,37%,24%,37%,41%,52%,66%,*,29%,22%,34%,38%,35%,31%,25%
,2018,35%,36%,39%,26%,38%,42%,60%,72%,*,27%,24%,37%,40%,34%,31%,29%
Reading and Mathematics Including EOC,2019,38%,39%,39%,25%,39%,41%,52%,63%,*,29%,22%,34%,40%,35%,32%,28%
,2018,37%,38%,41%,27%,39%,44%,62%,74%,*,32%,24%,37%,42%,35%,32%,31%
Reading Including EOC,2019,47%,48%,49%,35%,49%,52%,71%,71%,*,45%,27%,45%,51%,45%,43%,38%
