Primary_Key_2018_2019,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2019,YOY_Region_2019,YOY_District_2019,YOY_African_American_2019,YoY_Hispanic_2019,YoY_White_2019,YoY_Econ_Disadv_2019,YoY_ELL_2019
Channelview_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.02,-0.01,-0.01,-0.16,-0.03,-0.08
Channelview_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Channelview_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,0.01,-0.01,0.01,-0.07,0.001,-0.03
Channelview_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.04,-0.11,-0.02,-0.14,-0.05,-0.04
Channelview_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.04,0.05,0.05,-0.05,0.02,0.05
Channelview_ISD_Grade 3 Reading_At Masters Grade Level_2019,Channelview_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.06,0.07,0.07,-0.02,0.07,0.03
Channelview_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,0.01,0.13,0.001,-0.07,0.02,0.01
Channelview_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,0.04,-0.04,0.04,0.04,0.06,0.07
Channelview_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Channelview_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,0.04,-0.08,0.08,-0.12,0.06,0.1
Channelview_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.07,0.001,0.08,0.01,0.09,0.09
Channelview_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.04,-0.07,-0.03,-0.01,-0.03,-0.02
Channelview_ISD_Grade 4 Reading_At Masters Grade Level_2019,Channelview_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.01,0.01,-0.02,0.001,0.001,-0.01
Channelview_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.02,-0.03,-0.03,0.001,-0.04,-0.03
Channelview_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,-0.05,0.13,-0.06,-0.08,-0.06,-0.07
Channelview_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Channelview_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.05,0.04,0.04,0.1,0.04,0.04
