Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2019,68%,69%,64%,62%,62%,69%,67%,90%,*,72%,22%,49%,66%,58%,60%,58%
,2018,66%,66%,60%,54%,59%,67%,50%,85%,*,58%,20%,49%,62%,56%,56%,56%
At Meets Grade Level or Above,2019,38%,39%,32%,29%,30%,37%,44%,75%,*,40%,13%,22%,33%,27%,27%,24%
,2018,41%,42%,35%,27%,34%,41%,0%,65%,*,31%,12%,25%,36%,30%,30%,29%
At Masters Grade Level,2019,14%,15%,10%,6%,9%,13%,22%,31%,*,18%,5%,13%,10%,8%,7%,7%
,2018,13%,13%,9%,5%,8%,13%,0%,25%,*,10%,2%,8%,10%,7%,7%,6%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,81%,76%,81%,86%,91%,94%,*,82%,47%,82%,83%,75%,78%,73%
,2018,80%,80%,78%,71%,77%,85%,82%,94%,80%,82%,43%,83%,80%,72%,75%,69%
At Meets Grade Level or Above,2019,54%,55%,54%,44%,53%,67%,55%,80%,*,58%,20%,49%,57%,46%,48%,40%
,2018,51%,52%,46%,39%,44%,59%,55%,70%,60%,52%,20%,38%,49%,37%,42%,31%
At Masters Grade Level,2019,25%,27%,23%,14%,21%,34%,36%,51%,*,32%,5%,28%,24%,18%,17%,16%
,2018,23%,24%,18%,11%,16%,25%,18%,41%,40%,27%,6%,11%,19%,12%,15%,10%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,78%,74%,76%,84%,100%,94%,*,90%,43%,87%,80%,70%,74%,57%
,2018,78%,79%,76%,73%,74%,83%,*,94%,*,81%,40%,77%,78%,71%,72%,52%
At Meets Grade Level or Above,2019,55%,57%,51%,43%,48%,61%,67%,78%,*,56%,23%,45%,53%,39%,45%,25%
,2018,53%,54%,48%,41%,46%,60%,*,73%,*,57%,21%,47%,50%,42%,44%,22%
At Masters Grade Level,2019,33%,36%,29%,22%,26%,44%,22%,47%,*,42%,9%,26%,31%,21%,24%,10%
,2018,31%,32%,26%,20%,24%,37%,*,51%,*,27%,7%,20%,28%,19%,22%,8%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,19%,27%,34%,*,71%,*,42%,14%,19%,29%,23%,24%,24%
