Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF SCIENCE - HOUSTO (101862) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading and Mathematics Including EOC,2019,35%,36%,54%,52%,40%,52%,-,69%,-,13%,31%,60%,52%,54%,47%,56%
,2018,36%,37%,56%,50%,39%,51%,-,78%,*,50%,28%,80%,54%,58%,53%,59%
Reading Including EOC,2019,44%,45%,63%,67%,50%,62%,-,71%,-,38%,38%,80%,63%,64%,59%,63%
,2018,46%,46%,65%,59%,57%,63%,-,78%,*,83%,39%,80%,62%,70%,63%,68%
Math Including EOC,2019,48%,49%,73%,65%,67%,74%,-,90%,-,50%,56%,80%,76%,71%,67%,76%
,2018,49%,51%,67%,65%,48%,65%,-,88%,*,50%,27%,100%,66%,69%,62%,69%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,65%,61%,45%,68%,-,82%,*,*,23%,60%,65%,65%,58%,65%
,2018,44%,44%,65%,61%,38%,61%,-,85%,*,82%,19%,*,70%,57%,60%,58%
Reading and Mathematics Including EOC,2019,44%,44%,65%,61%,45%,68%,-,82%,*,*,23%,60%,65%,65%,58%,65%
,2018,44%,44%,65%,61%,38%,61%,-,85%,*,82%,19%,*,70%,57%,60%,58%
Reading Including EOC,2019,54%,54%,74%,71%,64%,73%,-,85%,*,*,27%,60%,75%,73%,68%,75%
,2018,54%,54%,76%,78%,57%,67%,-,88%,*,91%,27%,*,81%,68%,75%,68%
Math Including EOC,2019,58%,59%,76%,69%,57%,81%,-,93%,*,*,36%,80%,75%,76%,72%,82%
,2018,58%,59%,75%,66%,53%,82%,-,92%,*,91%,45%,*,78%,71%,72%,70%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,57%,53%,36%,58%,*,69%,*,60%,10%,20%,64%,50%,49%,51%
,2018,31%,33%,52%,53%,40%,34%,-,72%,-,50%,10%,17%,61%,45%,46%,40%
Reading and Mathematics Including EOC,2019,31%,32%,57%,53%,36%,58%,*,69%,*,60%,10%,20%,64%,50%,49%,51%
,2018,31%,33%,52%,53%,40%,34%,-,72%,-,50%,10%,17%,61%,45%,46%,40%
Reading Including EOC,2019,37%,38%,60%,56%,45%,62%,*,71%,*,60%,19%,20%,69%,53%,53%,54%
