Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Spring_Branch_ISD_Grade 7 Reading,Spring_Branch_ISD,Grade 7 Reading,At Meets Grade Level or Above,2022,0.56,0.58,0.59,0.41,0.43,0.88,0.33,0.84,-,0.88,0.26,0.61,0.52,0.40,0.37
Spring_Branch_ISD_Grade 7 Reading,Spring_Branch_ISD,Grade 7 Reading,At Meets Grade Level or Above,2021,0.45,0.47,0.51,0.36,0.36,0.77,*,0.75,*,0.68,0.20,0.53,0.42,0.32,0.33
Spring_Branch_ISD_Grade 7 Reading,Spring_Branch_ISD,Grade 7 Reading,At Masters Grade Level,2022,0.37,0.39,0.43,0.26,0.27,0.71,0.33,0.70,-,0.75,0.10,0.44,0.40,0.24,0.22
Spring_Branch_ISD_Grade 7 Reading,Spring_Branch_ISD,Grade 7 Reading,At Masters Grade Level,2021,0.25,0.27,0.30,0.21,0.18,0.51,*,0.56,*,0.40,0.08,0.32,0.23,0.17,0.16
Spring_Branch_ISD_Grade 7 Mathematics,Spring_Branch_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.70,0.50,0.58,0.93,0.83,0.96,-,0.85,0.47,0.72,0.63,0.56,0.56
Spring_Branch_ISD_Grade 7 Mathematics,Spring_Branch_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.65,0.41,0.52,0.93,*,0.95,*,0.74,0.29,0.69,0.53,0.48,0.52
Spring_Branch_ISD_Grade 7 Mathematics,Spring_Branch_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2022,0.31,0.34,0.48,0.19,0.30,0.81,0.33,0.86,-,0.76,0.23,0.50,0.42,0.28,0.29
Spring_Branch_ISD_Grade 7 Mathematics,Spring_Branch_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2021,0.27,0.29,0.43,0.14,0.26,0.75,*,0.81,*,0.58,0.18,0.47,0.31,0.21,0.25
Spring_Branch_ISD_Grade 7 Mathematics,Spring_Branch_ISD,Grade 7 Mathematics,At Masters Grade Level,2022,0.13,0.15,0.29,0.09,0.14,0.53,0.17,0.68,-,0.55,0.07,0.31,0.24,0.12,0.14
Spring_Branch_ISD_Grade 7 Mathematics,Spring_Branch_ISD,Grade 7 Mathematics,At Masters Grade Level,2021,0.12,0.13,0.24,0.06,0.10,0.47,*,0.61,*,0.35,0.05,0.25,0.17,0.08,0.11
