Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,Econ_Disadv,ELL
Harmony_Schools_West_Grade 4 Reading,Harmony_Schools_West,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.88,0.83,0.77,0.98,0.84,0.85
La_Porte_ISD_Grade 6 Mathematics,La_Porte_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.87,0.85,0.86,0.89,0.84,0.85
La_Porte_ISD_Grade 6 Mathematics,La_Porte_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.87,0.85,0.86,0.89,0.84,0.85
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.9,0.88,0.87,0.91,0.83,0.85
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.9,0.88,0.87,0.91,0.83,0.85
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.9,0.79,0.86,0.93,0.82,0.85
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.9,0.79,0.86,0.93,0.82,0.85
La_Porte_ISD_Grade 6 Mathematics,La_Porte_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.85,0.62,0.87,0.85,0.82,0.85
La_Porte_ISD_Grade 6 Mathematics,La_Porte_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.85,0.62,0.87,0.85,0.82,0.85
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.89,0.81,0.84,0.92,0.79,0.85
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.89,0.81,0.84,0.92,0.79,0.85
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.87,0.8,0.81,0.93,0.78,0.85
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.87,0.8,0.81,0.93,0.78,0.85
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.86,0.77,0.81,0.91,0.78,0.85
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.86,0.77,0.81,0.91,0.78,0.85
Harmony_Schools_West_Grade 6 Mathematics,Harmony_Schools_West,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.81,0.76,0.67,0.82,0.77,0.85
Harmony_Schools_West_Grade 6 Mathematics,Harmony_Schools_West,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.81,0.76,0.67,0.82,0.77,0.85
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.86,0.71,0.81,0.92,0.75,0.85
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.86,0.71,0.81,0.92,0.75,0.85
La_Porte_ISD_Grade 5 Reading,La_Porte_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.88,0.75,0.88,0.89,0.87,0.84
La_Porte_ISD_Grade 5 Reading,La_Porte_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.88,0.75,0.88,0.89,0.87,0.84
Tomball_ISD_Grade 7 Reading,Tomball_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.93,0.9,0.88,0.95,0.85,0.84
Tomball_ISD_Grade 7 Reading,Tomball_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.93,0.9,0.88,0.95,0.85,0.84
Deer_Park_ISD_Grade 7 Reading,Deer_Park_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.88,0.69,0.87,0.93,0.84,0.84
Deer_Park_ISD_Grade 7 Reading,Deer_Park_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.88,0.69,0.87,0.93,0.84,0.84
Tomball_ISD_Grade 6 Reading,Tomball_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.89,0.72,0.84,0.91,0.79,0.84
